Trendy genes	Module genes	Module genes:Hub genes	Trendy genes:Module genes	Trendy genes:Module genes:Hub genes
C4b	2810428J06Rik	Gm18796	Gm28476	Uba1y-ps2
Lgals3bp	A630095N17Rik	Gm18797	Gm20873	Gm28348
Gfap	A730063M14Rik	Gm20788	Gm29392	NA
H2-K1	Ddx3y	Gm20830	Gm20906	NA
Ctss	Eif2s3y	Gm21064	Gm20915	NA
C3	Gm10373	Gm21292	Gm8480	NA
H2-D1	Gm17494	Gm21719	Gm28673	NA
Neat1	Gm18445	Gm21721	Gm20821	NA
Cd68	Gm20775	Gm21854	Gm29158	NA
Csf1	Gm20824	Gm21865	NA	NA
Lgals3	Gm20834	Gm21874	NA	NA
Itgb2	Gm20914	Gm28278	NA	NA
Lyz2	Gm21241	Gm28356	NA	NA
Gpnmb	Gm21294	Gm28444	NA	NA
Irf7	Gm21729	Gm28445	NA	NA
Irf9	Gm21778	Gm28507	NA	NA
Oasl2	Gm21853	Gm28510	NA	NA
Serpina3n	Gm26648	Gm28587	NA	NA
Clec7a	Gm28148	Gm28597	NA	NA
Ifit3	Gm28171	Gm28649	NA	NA
Pcdhb5	Gm28173	Gm28674	NA	NA
Ctsh	Gm28191	Gm28919	NA	NA
Gbp3	Gm28242	Gm29049	NA	NA
Psmb8	Gm28329	Gm29274	NA	NA
Ifi27	Gm28443	Gm37222	NA	NA
Bmp7	Gm28593	Gm37236	NA	NA
Pcdhb8	Gm28769	Gm8446	NA	NA
Abca8a	Gm28915	Kdm5d	NA	NA
Laptm5	Gm28924	Tspy-ps	NA	NA
Lag3	Gm28975	Uba1y	NA	NA
Pcdhb9	Gm29198	Usp9y	NA	NA
Ifit3b	Gm29218	Uty	NA	NA
Serping1	Gm29302	Vmn2r-ps139	NA	NA
Pcdhga7	Gm29355	Zfy1	NA	NA
Aebp1	Gm29357	Zfy2	NA	NA
Stat1	Gm29475	NA	NA	NA
Gpr34	Gm29506	NA	NA	NA
Cd9	Gm29552	NA	NA	NA
Ptpn6	Gm29650	NA	NA	NA
Zc3hav1	Gm30906	NA	NA	NA
Sox11	Gm34368	NA	NA	NA
B2m	Gm36745	NA	NA	NA
Slc11a1	Gm37870	NA	NA	NA
Ctsz	Gm4017	NA	NA	NA
C1qa	Gm45890	NA	NA	NA
Bst2	Gm5587	NA	NA	NA
Efemp1	Gm9767	NA	NA	NA
Myo1f	Gm9929	NA	NA	NA
Pcdhga8	Olfr1452-ps1	NA	NA	NA
Tap1	Prps1l1	NA	NA	NA
Il10ra	Vmn1r-ps62	NA	NA	NA
Hexb	NA	NA	NA	NA
Capg	NA	NA	NA	NA
9630013A20Rik	NA	NA	NA	NA
Usp18	NA	NA	NA	NA
Rgs4	NA	NA	NA	NA
Pbdc1	NA	NA	NA	NA
Tap2	NA	NA	NA	NA
Ifit1	NA	NA	NA	NA
BC106179	NA	NA	NA	NA
Thbs2	NA	NA	NA	NA
Pcdhb14	NA	NA	NA	NA
