Trendy genes	Trendy genes:Module genes	Module genes	Trendy genes:Module genes:Hub genes
Bmp7	Cd68	Adam33	C4b
Abca8a	Gpnmb	Aif1	Lgals3bp
Serping1	Irf9	Cd53	Gfap
Gm28476	Oasl2	Chst14	H2-K1
Aebp1	Clec7a	Cmtm7	Ctss
Gpr34	Pcdhb5	Cradd	C3
Cd9	Pcdhb8	Fam114a1	H2-D1
Sox11	Pcdhb9	Fam160b2	Neat1
Uba1y-ps2	Ifit3b	Fcgr3	Csf1
Efemp1	Pcdhga7	Fermt3	Lgals3
9630013A20Rik	Stat1	Fkbp10	Itgb2
Usp18	Ptpn6	Fstl1	Lyz2
Rgs4	Zc3hav1	Galns	Irf7
Pbdc1	Bst2	Gata2	Serpina3n
BC106179	Myo1f	Gdpd2	Ifit3
Enpp6	Pcdhga8	Gstt1	Ctsh
Marcksl1	Tap1	Gstt2	Gbp3
Spag6	Il10ra	Hk3	Psmb8
Gbp6	Capg	Htra3	Ifi27
Vim	Ifit1	Icosl	Laptm5
Hs3st2	Thbs2	Il17rc	Lag3
Upk1b	Pcdhb14	Lefty1	B2m
Prrg1	Ly86	Nfatc1	Slc11a1
Ggta1	Irf5	Nme6	Ctsz
Col6a2	Rab20	Ogfod3	C1qa
Apobec3	Irgm1	Olfml1	Hexb
Pcdhb6	H2-Q7	Olfml3	Tap2
Plin4	B230209E15Rik	Oxt	Il33
Osbpl6	Ass1	Parp10	C1qc
Lrrtm3	Tnfrsf1b	Pld2	Cx3cr1
9430092D12Rik	Hvcn1	Plin3	Ctsd
Gm5173	Aspg	Pmf1	C1qb
Brwd3	Parp12	Prelp	H2-T23
Fnbp1l	Lsp1	Rnase4	Tapbp
Car13	Lgals9	Selenbp1	NA
Stoml3	Trem2	Slc1a5	NA
Nr6a1os	H2-Q6	Spi1	NA
Exd2	Rtp4	Spp1	NA
Gm11860	Tnfrsf1a	Tnfaip2	NA
Tent5c	Slc5a5	NA	NA
Rmnd1	Tmem63a	NA	NA
Nrn1	Cyba	NA	NA
Sacs	Pld4	NA	NA
Cxcl10	Irgm2	NA	NA
H2-DMb1	Apod	NA	NA
Decr2	Tyrobp	NA	NA
Cwc22	Il21r	NA	NA
Adam19	Sorbs3	NA	NA
R3hdm1	Pcdhga2	NA	NA
Tmem183a	Srebf1	NA	NA
Pcdhb2	Rnf207	NA	NA
Tspan2	Galnt6	NA	NA
Slc2a4	Ifi27l2a	NA	NA
Gsn	Pcdhga6	NA	NA
Crtam	Msn	NA	NA
Tlr2	Thbs1	NA	NA
Gm28348	Tmc6	NA	NA
Xdh	Xaf1	NA	NA
Gm6631	Tcirg1	NA	NA
Akap17b	Gstm2	NA	NA
Olfr1141	Eva1c	NA	NA
Aldh1a2	Cst7	NA	NA
Amz1	Plcg2	NA	NA
C030029H02Rik	Csf3r	NA	NA
Stxbp3	Rasal3	NA	NA
Krt9	Ntn5	NA	NA
Dhx40	Klc3	NA	NA
Mob1b	Itgb4	NA	NA
Aldh1a1	Arhgap45	NA	NA
Camk4	Trim59	NA	NA
Zfp322a	Irf8	NA	NA
Cd74	Unc93b1	NA	NA
Mical2	Gm11681	NA	NA
Dclk1	S1pr3	NA	NA
Gm20873	Tspo	NA	NA
Gm29392	Pisd-ps1	NA	NA
Lypd1	Pcdhga4	NA	NA
Olfr1409-ps1	Cd37	NA	NA
Gm28875	Alpl	NA	NA
Sorbs2	Adamtsl4	NA	NA
Sspn	Psmb9	NA	NA
Wee1	Smoc1	NA	NA
Axl	H2-Q5	NA	NA
Litaf	Fcgr1	NA	NA
Grin2a	Ptgis	NA	NA
Wfikkn2	Avp	NA	NA
Pls1	Tor3a	NA	NA
Camkk2	Cyth4	NA	NA
Plcd1	Tmem176a	NA	NA
Tex52	Cxcl16	NA	NA
Sphk1	Anxa4	NA	NA
Lig1	Anxa3	NA	NA
Zfp410	Dhx58	NA	NA
Efnb3	Mms19	NA	NA
Smap1	Igkc	NA	NA
Olfr1160	Parp3	NA	NA
Parp9	Icam1	NA	NA
Bche	Nfe2l2	NA	NA
Obox3-ps7	Rftn1	NA	NA
Gm37962	Uba7	NA	NA
Cbln2	Lpcat2	NA	NA
Cldn11	Plek	NA	NA
Frmpd4	Fcer1g	NA	NA
Gm20906	Hapln2	NA	NA
Gm10545	Ifitm3	NA	NA
Slco1c1	Tln1	NA	NA
Car4	Cd52	NA	NA
Khdrbs3	Myo1d	NA	NA
Bdkrb2	Rarg	NA	NA
H2-M3	Arsg	NA	NA
C2	Serpinb1a	NA	NA
Qprt	Hfe	NA	NA
Tunar	Cd82	NA	NA
Gdap1	Ighm	NA	NA
Kcnk2	Rac2	NA	NA
Gm12876	Comp	NA	NA
Mpeg1	Shc1	NA	NA
Tenm1	Tjp2	NA	NA
Pon2	Scamp2	NA	NA
Taf7	Stat6	NA	NA
Gm42756	H2-Eb1	NA	NA
Stk10	Med18	NA	NA
Fut9	Emp3	NA	NA
Dcakd	Gstt3	NA	NA
Gm11257	Itih5	NA	NA
Itm2a	Pdlim4	NA	NA
Slc44a2	Igtp	NA	NA
Tmem33	Arpin	NA	NA
Pcdhb4	Selplg	NA	NA
Padi2	Ncf1	NA	NA
Fcgr2b	Aga	NA	NA
Rgs5	F11r	NA	NA
Rnf113a2	Ier3	NA	NA
Hsph1	Gm13905	NA	NA
Pdlim1	Bcl3	NA	NA
Trf	Chil1	NA	NA
Spg20	Lcp1	NA	NA
Itga10	Txnrd3	NA	NA
Sec14l3	Gstm6	NA	NA
Drp2	Gm40466	NA	NA
Vmp1	Inpp5d	NA	NA
1110002L01Rik	Parvg	NA	NA
Jcad	Gpr37	NA	NA
AB124611	Trappc6a	NA	NA
Gm17148	Frmd4b	NA	NA
Dgkb	Bin2	NA	NA
Gm20915	Ifi35	NA	NA
Nrep	NA	NA	NA
Tgfbi	NA	NA	NA
Arhgap20	NA	NA	NA
A530053G22Rik	NA	NA	NA
Ptprk	NA	NA	NA
Gm43242	NA	NA	NA
Pllp	NA	NA	NA
Rprd1a	NA	NA	NA
Vezt	NA	NA	NA
Wnt5b	NA	NA	NA
Ccdc112	NA	NA	NA
Trib2	NA	NA	NA
Luzp1	NA	NA	NA
Defa-ps15	NA	NA	NA
Hjurp	NA	NA	NA
Gm14940	NA	NA	NA
Robo3	NA	NA	NA
A230072C01Rik	NA	NA	NA
Atrx	NA	NA	NA
Zfp711	NA	NA	NA
Cdh1	NA	NA	NA
Gm45619	NA	NA	NA
Lims1	NA	NA	NA
B3galt1	NA	NA	NA
Tmem167	NA	NA	NA
Wfdc18	NA	NA	NA
Gm20535	NA	NA	NA
Ppl	NA	NA	NA
Rbm28	NA	NA	NA
Gbp4	NA	NA	NA
Gm43820	NA	NA	NA
Slc26a8	NA	NA	NA
Orc4	NA	NA	NA
Tnxb	NA	NA	NA
Cnksr1	NA	NA	NA
Endou	NA	NA	NA
Tmem125	NA	NA	NA
Sned1	NA	NA	NA
Gjb2	NA	NA	NA
Sbno1	NA	NA	NA
Gpr179	NA	NA	NA
Cd209f	NA	NA	NA
Pcdhga5	NA	NA	NA
Eif2s1	NA	NA	NA
Ints10	NA	NA	NA
Ahr	NA	NA	NA
Gm37459	NA	NA	NA
R3hdm2	NA	NA	NA
Gm44860	NA	NA	NA
Gm18781	NA	NA	NA
Ifitm6	NA	NA	NA
Acot3	NA	NA	NA
Rbp3	NA	NA	NA
Nlrp5-ps	NA	NA	NA
Opalin	NA	NA	NA
Gm20559	NA	NA	NA
Glra2	NA	NA	NA
Hs3st3b1	NA	NA	NA
Gm17322	NA	NA	NA
Cntn6	NA	NA	NA
Galnt16	NA	NA	NA
Bcl2l12	NA	NA	NA
Pgm2l1	NA	NA	NA
Vsir	NA	NA	NA
Parp6	NA	NA	NA
Gria4	NA	NA	NA
Vav1	NA	NA	NA
Plxnb3	NA	NA	NA
Tgfb3	NA	NA	NA
Ypel1	NA	NA	NA
Gm12799	NA	NA	NA
Prr16	NA	NA	NA
Mfsd2a	NA	NA	NA
Ahsa1	NA	NA	NA
Cbln4	NA	NA	NA
Spata5	NA	NA	NA
Dhx37	NA	NA	NA
Kcnv1	NA	NA	NA
Pde10a	NA	NA	NA
Kcnh7	NA	NA	NA
Rpgr	NA	NA	NA
Gbp2	NA	NA	NA
H2-Ab1	NA	NA	NA
Gm14204	NA	NA	NA
Kitl	NA	NA	NA
Ifit2	NA	NA	NA
Gm40518	NA	NA	NA
1700126G02Rik	NA	NA	NA
Gabra2	NA	NA	NA
Gm43362	NA	NA	NA
Mboat1	NA	NA	NA
Wdr44	NA	NA	NA
