Trendy genes	Module genes	Trendy genes:Module genes	Trendy genes:Module genes:Hub genes	Module genes:Hub genes
Eif2s3y	0610009L18Rik	Hspa4l	Gnpat	Actr1a
Eif2s3x	1110004F10Rik	Mat2b	Eno3	Adsl
Kcnk1	1110038F14Rik	2310061I04Rik	Fkbp4	Atp5b
Prkcq	1600012H06Rik	Chp1	Auh	Atpaf1
Acsm5	1600014C10Rik	Atp6v1b2	Coq9	Bcat2
Dpep1	2310022A10Rik	Slc25a34	Ckmt2	C030006K11Rik
Cds1	2310022B05Rik	Tmod1	Isca1	Cd81
Efemp1	2410004B18Rik	Coq4	Rpl3l	Cdc34
Vgll2	2810006K23Rik	Dlat	Tmem70	Cdc37
Rtl3	4930453N24Rik	Rilpl1	Slc25a12	Echs1
Ighg2c	A930016O22Rik	Letm1	Eci2	Egln2
Skap2	AI837181	Fblim1	Ecsit	Eif5a
Olfr1016	AW209491	Oxct1	Chchd3	Gpi1
Slc38a1	Aagab	Tango2	Coq5	Klhdc2
Pcdhb20	Aamp	Akr7a5	Fastk	Ldha
Gm28597	Aasdhppt	Perp	Ptges2	Maf1
Ric3	Abcb6	Dnaja3	Fars2	Mtfr1l
Prlr	Abcf1	Mrpl44	Dele1	Napa
Fas	Abcf2	Ak3	Ubl7	Ndufv1
Mapk12	Abcf3	Foxred1	Pdhb	Pdrg1
Hsd11b1	Abhd16a	Gpsm1	Uqcrc1	Pkm
Cnmd	Acadm	Mlycd	Adipor1	Pmpcb
Tubb1	Acat1	Hibch	Phyh	Popdc2
Amy1	Ackr3	Mmaa	Prdx3	Ppp2r5d
Prom2	Acox1	Rmc1	Cops8	Psma1
Rasgrp1	Acp6	Usp13	Ube2b	Psmc5
Scgb2b27	Acsf2	Med16	Coq2	Psmd3
Cxcr6	Actc1	Gcdh	Ckm	Psmd7
Gm2497	Actn4	Bves	Mrpl38	Ptcd2
Gm15638	Actr8	Timm44	Psmd2	Rrp1
Gm2619	Acvrl1	Dlst	Slc2a4	Serf2
Cs	Acy1	Afg1l	Nfs1	Sod2
Acsl1	Acy3	Hspd1	Mrpl4	Stoml2
Fgr	Adck1	Acot1	Tufm	Wdr18
Pde11a	Add1	Atp1a2	Map1lc3b	NA
Cyp2b10	Adgrl1	Psmc2	Sgca	NA
Fbxo31	Adprhl1	Adhfe1	Cox10	NA
Ccr2	Adrm1	Abcb10	Mccc2	NA
Itgal	Adssl1	Slc48a1	Uqcrc2	NA
Cdh22	Afg3l1	Mapre2	Tcp1	NA
Gabarapl1	Aga	Scyl1	Etfb	NA
4930533B01Rik	Aimp2	Acad9	Coq6	NA
Itgb7	Ajuba	Kcnip2	Slc25a39	NA
Abat	Akr1b10	Tmem150a	Cyc1	NA
Tmem94	Akr1b3	Tspan7	Hadh	NA
Asb11	Akt1s1	Cct7	Samm50	NA
Usp9y	Akt2	Npepl1	Suclg1	NA
Cdkn1c	Alas1	Rit1	Adk	NA
Gm47816	Aldh7a1	Mgrn1	Ndufa10	NA
Camk2b	Aldoa	Pdhx	Fh1	NA
Doc2b	Alg1	Klhdc3	Tprgl	NA
Htra3	Alox5	Cpox	Slc25a11	NA
Aldob	Anapc2	Dnajc28	Ppp1ca	NA
Scml2	Ankrd9	Sucla2	Cct5	NA
Tecrl	Ankzf1	Mrpl39	Mrpl37	NA
Myh7	Anxa2	Crispld2	Capzb	NA
Olfr1206	Ap1b1	Zfp706	Acaa2	NA
Tas2r114	Ap1m1	Rtn4ip1	Mdh1	NA
Slc20a2	Ap1s1	Gys1	Rxrg	NA
Col14a1	Ap2a2	Eif2b4	Ppp5c	NA
Cnksr2	Ap2m1	Plin3	Poldip2	NA
Gsta2	Ap3s1	Rom1	Idh3g	NA
Gm38299	Ap4s1	Actr3b	Ndufa9	NA
Tmem182	Ap5s1	Sh3bp5	Pgm2	NA
2010001K21Rik	Apbb1	Got1	Ndufs2	NA
Zfp423	Apeh	Bfar	Dnpep	NA
Ccng1	Apoo	Ublcp1	Mdh2	NA
Pnpla2	Arfgap1	Ube2h	Bsg	NA
Art3	Arhgef15	Dyrk2	Myzap	NA
Ldhd	Arhgef19	Psmd11	Des	NA
Ighv5-17	Arl1	Plod1	Immt	NA
Prodh	Arl2bp	Nkiras2	Prkaca	NA
Prf1	Arl6ip4	Ggcx	Mrpl45	NA
Msln	Arl6ip5	Fndc5	Acaa1a	NA
Cd99l2	Armc1	Trim63	Casq2	NA
Prl2a1	Arpc1a	Rab22a	Pygm	NA
