Trendy genes	Trendy genes:Module genes	Module genes	Trendy genes:Module genes:Hub genes
Eif2s3y	Dpep1	Abcb4	Kcnk1
Eif2s3x	Efemp1	Alox12	Prkcq
Rtl3	Ric3	Ano5	Acsm5
Olfr1016	Prlr	Anxa7	Cds1
Slc38a1	Hsd11b1	Aqp8	Vgll2
Hspa4l	Cnmd	Bdh1	Ighg2c
Gm28597	Prom2	Best3	Skap2
Fas	Gm2619	Cacna1s	Pcdhb20
Mapk12	Pde11a	Ccne1	Amy1
Mat2b	Cyp2b10	Cdh4	Cd209f
2310061I04Rik	Ccr2	Ces2g	Scn4b
Chp1	Cdh22	Cyp27a1	NA
Tubb1	Abat	Dpyd	NA
Atp6v1b2	Camk2b	Eya2	NA
Rasgrp1	Aldob	Grm1	NA
Scgb2b27	Myh7	Htatip2	NA
Gnpat	Shtn1	Inmt	NA
Slc25a34	Cxcl14	Klk1b26	NA
Cxcr6	Tmprss13	Lars	NA
Gm2497	Ttc39b	Lclat1	NA
Tmod1	Parp3	Lrrcc1	NA
Eno3	2310002L09Rik	Mmp9	NA
Gm15638	Snhg11	Mpv17l	NA
Cs	Prune2	Mrgbp	NA
Fkbp4	Pcdhb14	Myot	NA
Acsl1	Rbm3	Ntng2	NA
Auh	Cd209g	Olfr543	NA
Fgr	Mef2c	Pdcd4	NA
Fbxo31	Slc22a3	Penk	NA
Coq9	Cpne7	Pigz	NA
Itgal	Mettl11b	Pla1a	NA
Gabarapl1	Kcnj14	Rab4a	NA
4930533B01Rik	Amot	Rft1	NA
Itgb7	Acsl6	Srsf5	NA
Coq4	Cd209b	Tbx3	NA
Tmem94	Hrh2	Thbs2	NA
Asb11	Il17re	Ttll7	NA
Usp9y	Ccl11	NA	NA
Cdkn1c	Gm7592	NA	NA
Gm47816	Kcnc1	NA	NA
Dlat	Gm44608	NA	NA
Rilpl1	Sh3gl2	NA	NA
Doc2b	Ccdc122	NA	NA
Letm1	Pcdhb22	NA	NA
Fblim1	Slc6a17	NA	NA
Htra3	Tmem150c	NA	NA
Scml2	Ociad2	NA	NA
Oxct1	Casp12	NA	NA
Tango2	Prkcz	NA	NA
Tecrl	Vegfd	NA	NA
Olfr1206	Nqo1	NA	NA
Ckmt2	Arc	NA	NA
Tas2r114	Edn3	NA	NA
Akr7a5	Tspan17	NA	NA
Perp	Slc26a10	NA	NA
Slc20a2	Pced1b	NA	NA
Col14a1	Ankrd1	NA	NA
Cnksr2	Gm42517	NA	NA
Dnaja3	Cpxm2	NA	NA
Gsta2	Tdrp	NA	NA
Gm38299	Ptprn	NA	NA
Tmem182	Ankrd45	NA	NA
2010001K21Rik	Vit	NA	NA
Zfp423	Snai3	NA	NA
Ccng1	Dpysl4	NA	NA
Pnpla2	H2-M3	NA	NA
Art3	Pcdhac2	NA	NA
Ldhd	Tmem196	NA	NA
Ighv5-17	Hpse	NA	NA
Mrpl44	Ninl	NA	NA
Prodh	Lrrc3	NA	NA
Ak3	Esm1	NA	NA
Prf1	2310016D03Rik	NA	NA
Foxred1	Sh3rf2	NA	NA
Msln	Zfp536	NA	NA
Gpsm1	Agtr1a	NA	NA
Mlycd	Pla2g2d	NA	NA
Cd99l2	NA	NA	NA
Prl2a1	NA	NA	NA
Hibch	NA	NA	NA
Gm8446	NA	NA	NA
Mmaa	NA	NA	NA
Trmt2b	NA	NA	NA
Rmc1	NA	NA	NA
Slitrk2	NA	NA	NA
Usp13	NA	NA	NA
Agtpbp1	NA	NA	NA
Med16	NA	NA	NA
Cd6	NA	NA	NA
Ythdc2	NA	NA	NA
Klra9	NA	NA	NA
Cdkl5	NA	NA	NA
Sesn1	NA	NA	NA
Gcdh	NA	NA	NA
Zbp1	NA	NA	NA
Bves	NA	NA	NA
Gimap3	NA	NA	NA
Gm37109	NA	NA	NA
1700065D16Rik	NA	NA	NA
Timm44	NA	NA	NA
Ly86	NA	NA	NA
Pah	NA	NA	NA
Dlst	NA	NA	NA
Antxr1	NA	NA	NA
Isca1	NA	NA	NA
Loxl1	NA	NA	NA
Srl	NA	NA	NA
Afg1l	NA	NA	NA
Hspd1	NA	NA	NA
Eif4a2	NA	NA	NA
Rpl3l	NA	NA	NA
Gspt2	NA	NA	NA
Acot1	NA	NA	NA
Frmd7	NA	NA	NA
Slc38a4	NA	NA	NA
Tmem70	NA	NA	NA
Naip5	NA	NA	NA
Atp1a2	NA	NA	NA
Fbxo6	NA	NA	NA
Tmtc2	NA	NA	NA
Rbpms2	NA	NA	NA
Psmc2	NA	NA	NA
Pank1	NA	NA	NA
Myo1f	NA	NA	NA
Adhfe1	NA	NA	NA
Abcb10	NA	NA	NA
Pdha1	NA	NA	NA
Slc48a1	NA	NA	NA
Cntn5	NA	NA	NA
Gm28919	NA	NA	NA
Gm42481	NA	NA	NA
Cd72	NA	NA	NA
Mapre2	NA	NA	NA
Ifi213	NA	NA	NA
Gm18529	NA	NA	NA
Scyl1	NA	NA	NA
C130093G08Rik	NA	NA	NA
Zfp105	NA	NA	NA
Acad9	NA	NA	NA
Ung	NA	NA	NA
Ephx2	NA	NA	NA
Ube2d3	NA	NA	NA
Brwd3	NA	NA	NA
Gm21188	NA	NA	NA
Cyb5d2	NA	NA	NA
Irf5	NA	NA	NA
Kcnip2	NA	NA	NA
Slc25a12	NA	NA	NA
Gm4951	NA	NA	NA
Slc25a4	NA	NA	NA
Gm11925	NA	NA	NA
Tmem150a	NA	NA	NA
Tspan7	NA	NA	NA
