Trendy genes	Module genes	Trendy genes:Module genes	Module genes:Hub genes	Trendy genes:Module genes:Hub genes
Rdh16f2	1110065P20Rik	Eif2s3y	1810013L24Rik	Scp2
Prlr	1700017B05Rik	Alas2	5730455P16Rik	C6
Rtn4	1700028E10Rik	Hao1	9130401M01Rik	Cul2
Fmo3	1700066M21Rik	Ces3a	Abcb10	Abcg2
Cyp2c38	1700113B09Rik	Mup20	Ankrd27	Cyp4a12a
Slc22a27	2010003K11Rik	Gstp1	Arfgap3	Serpine2
Maob	2010315B03Rik	C8a	Asap3	Phyh
Nipal1	2510002D24Rik	Cyp4a12b	Asb6	Ugt2b38
Cyp2c39	2810408I11Rik	Serpina3k	Cadm4	Slc35e3
Pcp4l1	4833420G17Rik	Ttc39c	Caml	Etfbkmt
Tcn2	5033406O09Rik	C8b	Capn7	C730027H18Rik
Tmem98	AI661453	Slc22a28	Capza2	Cmtm6
Qpct	Aaas	Cyp2d9	Cbfa2t2	AI463229
Sult1a1	Abhd17b	Serpina1e	Cdc34	Gsr
Sult2a2	Acbd5	Mup3	Cdh15	Selenbp2
Hexb	Actl6a	Trip4	Cdhr5	Ephx2
Abcd2	Actr2	Usp10	Ces2a	Tram1
Papss2	Actr8	Slco1a1	Chmp1b	Zfp706
Arsa	Adh4	Cmah	Cnot7	Gm40787
Gypc	Adhfe1	Ugt2b1	Cxadr	Tsg101
Ar	Adrm1	Mindy3	Dnase2b	Ugt2b5
Trim24	Adss	Eif4g3	Dusp8	Actr1b
Cyp2u1	Ambp	Cyp7b1	Dync1h1	Gspt1
Tm6sf2	Anxa5	F2r	Dynll2	Map1lc3b
Echdc3	Aox1	C330002G04Rik	Eed	Ldah
Dpy19l3	Apbb2	Tuft1	Emc6	Acox1
Nat8	Apex1	Nudt7	Ephx1	Bpnt1
Uba7	Aplf	Comt	Eri1	Zyg11a
Nqo1	Arfgap1	Serpina1c	Fcor	Myo6
Gstt3	Arl8a	Cyp2f2	Fech	Igsf5
Slc16a5	Arpp19	Sel1l3	Ftl2-ps	Sephs1
Grid1	Atg4a	Tmem243	Fyttd1	Elovl3
Gm5884	Atp4a	C9	Galnt1	Serpina11
Fmo4	Atp6v0b	Slc22a30	Gas2l1	Dus1l
Glyat	Atp6v1c1	Echdc2	Gm11963	Eif5
Dqx1	Atxn2l	Il1rap	Gm34654	Hsd17b12
St3gal6	Bahd1	Enpp3	Gm42688	Dcakd
Vldlr	Bcl7b	Mup21	Gm44507	Lurap1l
Esr1	Bend7	Mug1	Gm45727	Psme3
Gm48262	Bloc1s4	Klhl2	Gpat4	Ola1
