Trendy genes	Trendy genes:Module genes	Module genes	Trendy genes:Module genes:Hub genes	Module genes:Hub genes
Eif2s3y	Gnai1	Aatk	Arsa	Chpt1
Rdh16f2	Cyp2c55	Aifm3	Cyp2u1	Zfp979
Prlr	Kcp	Aldh1a7	Dpy19l3	Zfp982
Scp2	Olfm3	Anxa7	Nat8	Zfp992
Alas2	Gas2	BC049987	Pard3b	NA
Rtn4	Tiam2	Bmp7	Fitm1	NA
Fmo3	Fbxo40	Capns1	Rassf3	NA
Cyp2c38	Pla2g6	Cfd	Cox19	NA
Slc22a27	Plekhb1	Cfl2	Unc119	NA
Hao1	Rpp40	Cgref1	Osbpl3	NA
Maob	Gsta2	Crygn	Fancl	NA
Ces3a	Tbc1d4	Esm1	Snhg11	NA
Mup20	Slc35d1	Fbxl16	Uox	NA
Nipal1	Apba2	Foxp4	Clstn3	NA
C6	Cplane1	Gm12718	Olig1	NA
Gstp1	Gm3776	Gm13161	Ntrk1	NA
C8a	Prss8	Gm16505	Gpc1	NA
Cyp2c39	Hnmt	Gm44421	Cidec	NA
Cyp4a12b	Serpina7	Gm47140	Gprc5b	NA
Serpina3k	Gm15411	Irf2	9130409I23Rik	NA
Ttc39c	Gm48120	Lpin2	NA	NA
C8b	Gsta1	Mphosph9	NA	NA
Pcp4l1	Ogfrl1	Nphp3	NA	NA
Tcn2	Zfp951	Osbpl8	NA	NA
Slc22a28	Trhde	Parp3	NA	NA
Tmem98	Gm31522	Platr4	NA	NA
Qpct	Iars2	Plin4	NA	NA
Sult1a1	Gal3st1	Plpbp	NA	NA
Sult2a2	Pdgfa	Polb	NA	NA
Hexb	Tspan17	Slc9a6	NA	NA
Cyp2d9	Epb41l1	Srxn1	NA	NA
Serpina1e	Whamm	Stbd1	NA	NA
Mup3	C430042M11Rik	Tmem131l	NA	NA
Abcd2	Socs7	Tmem28	NA	NA
Trip4	Scd1	Zfp746	NA	NA
Papss2	Samd4	Zfp872	NA	NA
Usp10	Dsg1c	NA	NA	NA
Gypc	Gstm1	NA	NA	NA
Ar	Akr1c19	NA	NA	NA
Slco1a1	Gstm3	NA	NA	NA
Trim24	Zfp54	NA	NA	NA
Cul2	Nudt19	NA	NA	NA
Abcg2	Lrrc15	NA	NA	NA
Cyp4a12a	Swap70	NA	NA	NA
Cmah	Prpf19	NA	NA	NA
Serpine2	Pnldc1	NA	NA	NA
Tm6sf2	Cidea	NA	NA	NA
Echdc3	Tmem51	NA	NA	NA
Ugt2b1	Btc	NA	NA	NA
Mindy3	Map3k20	NA	NA	NA
Eif4g3	Snrpn	NA	NA	NA
Cyp7b1	Pir	NA	NA	NA
Uba7	Gm5524	NA	NA	NA
Nqo1	Znf41-ps	NA	NA	NA
Gstt3	Upp1	NA	NA	NA
Slc16a5	Tle3	NA	NA	NA
Grid1	NA	NA	NA	NA
Gm5884	NA	NA	NA	NA
F2r	NA	NA	NA	NA
C330002G04Rik	NA	NA	NA	NA
Fmo4	NA	NA	NA	NA
Glyat	NA	NA	NA	NA
Tuft1	NA	NA	NA	NA
Nudt7	NA	NA	NA	NA
Dqx1	NA	NA	NA	NA
Phyh	NA	NA	NA	NA
St3gal6	NA	NA	NA	NA
Vldlr	NA	NA	NA	NA
Esr1	NA	NA	NA	NA
Gm48262	NA	NA	NA	NA
Sult2a1	NA	NA	NA	NA
Igkv3-5	NA	NA	NA	NA
Comt	NA	NA	NA	NA
H2-Q1	NA	NA	NA	NA
Hao2	NA	NA	NA	NA
Tox	NA	NA	NA	NA
Serpina1c	NA	NA	NA	NA
Bche	NA	NA	NA	NA
Cd36	NA	NA	NA	NA
Gbp7	NA	NA	NA	NA
Hamp2	NA	NA	NA	NA
Ugt2b38	NA	NA	NA	NA
Endod1	NA	NA	NA	NA
Cyp2f2	NA	NA	NA	NA
Slc16a7	NA	NA	NA	NA
Slc35e3	NA	NA	NA	NA
Cyp2a22	NA	NA	NA	NA
Sult3a1	NA	NA	NA	NA
Sel1l3	NA	NA	NA	NA
Tmem243	NA	NA	NA	NA
Etfbkmt	NA	NA	NA	NA
Gm29920	NA	NA	NA	NA
Klhl13	NA	NA	NA	NA
Gm2619	NA	NA	NA	NA
C730027H18Rik	NA	NA	NA	NA
C9	NA	NA	NA	NA
Notum	NA	NA	NA	NA
Slc22a30	NA	NA	NA	NA
Echdc2	NA	NA	NA	NA
Fbxl21	NA	NA	NA	NA
Stambpl1	NA	NA	NA	NA
Setbp1	NA	NA	NA	NA
Il1rap	NA	NA	NA	NA
Ildr2	NA	NA	NA	NA
Mpc1	NA	NA	NA	NA
Coro7	NA	NA	NA	NA
Enpp3	NA	NA	NA	NA
Mup21	NA	NA	NA	NA
Mug1	NA	NA	NA	NA
Klhl2	NA	NA	NA	NA
Hpgd	NA	NA	NA	NA
Cmtm6	NA	NA	NA	NA
Rbm3	NA	NA	NA	NA
Sult1c2	NA	NA	NA	NA
Cux1	NA	NA	NA	NA
Rasa3	NA	NA	NA	NA
Egfr	NA	NA	NA	NA
Tspan7	NA	NA	NA	NA
Lama3	NA	NA	NA	NA
AI463229	NA	NA	NA	NA
Ces4a	NA	NA	NA	NA
Camp	NA	NA	NA	NA
Mgst3	NA	NA	NA	NA
Map3k6	NA	NA	NA	NA
Aox3	NA	NA	NA	NA
Gsr	NA	NA	NA	NA
Dhrs7	NA	NA	NA	NA
Pon2	NA	NA	NA	NA
Nsun2	NA	NA	NA	NA
Vnn3	NA	NA	NA	NA
Tmem45b	NA	NA	NA	NA
Cyp2c67	NA	NA	NA	NA
Selenbp2	NA	NA	NA	NA
Lin7a	NA	NA	NA	NA
Setd6	NA	NA	NA	NA
Igfals	NA	NA	NA	NA
