Trendy genes	Trendy genes:Module genes	Module genes	Trendy genes:Module genes:Hub genes
Eif2s3y	Ar	2810428J06Rik	Ntrk2
Rdh16f2	Gm2619	Adgrl1	Ccl5
Prlr	Tmem45b	Aim2	Slamf7
Scp2	Lncbate1	Alcam	H2-Eb1
Alas2	Bgn	Arhgap6	H2-Aa
Rtn4	Efemp1	Arl5c	NA
Fmo3	Gm49410	Arl6	NA
Cyp2c38	Arpc1a	Brd3os	NA
Slc22a27	Prex1	C130089K02Rik	NA
Hao1	H2-M2	Casp4	NA
Maob	Gpnmb	Ccdc88c	NA
Ces3a	Ifi27	Cd200r4	NA
Mup20	Fign	Cd5	NA
Nipal1	Sema4d	Clip3	NA
C6	Nt5c2	Col5a2	NA
Gstp1	Cx3cl1	Ctbp2	NA
C8a	Igkv5-39	Ctsw	NA
Cyp2c39	Gm5122	Dact3	NA
Cyp4a12b	Naip5	Dagla	NA
Serpina3k	Impg2	Dll4	NA
Ttc39c	Mlph	Dsn1	NA
C8b	Gm40457	Efnb2	NA
Pcp4l1	Lbh	Elf4	NA
Tcn2	Mrpl48	Ephx3	NA
Slc22a28	Havcr2	Ercc6l	NA
Tmem98	Ltbp1	Etl4	NA
Qpct	Ccl4	Eva1b	NA
Sult1a1	Itgax	Fbrs	NA
Sult2a2	Papln	Gbp8	NA
Hexb	Mmp12	Gm15478	NA
Cyp2d9	Hvcn1	Gm16006	NA
Serpina1e	Wdfy4	Gm17746	NA
Mup3	Shisa3	Gm26740	NA
Abcd2	Card11	Gm29666	NA
Trip4	A4galt	Gm37010	NA
Papss2	D630033O11Rik	Gm38380	NA
Usp10	Sema3f	Gm42633	NA
Arsa	Scarf2	Gm48139	NA
Gypc	Ms4a7	Gm48996	NA
Slco1a1	Cx3cr1	Gm5485	NA
Trim24	Syk	Gpc6	NA
Cul2	Ciita	Hand2	NA
Abcg2	Pianp	Hdac7	NA
Cyp2u1	Vim	Hnrnpa0	NA
Cyp4a12a	Tmem132e	Lck	NA
Cmah	Tm4sf1	Limch1	NA
Serpine2	Hic1	Micall2	NA
Tm6sf2	Oxct1	Nptx1	NA
Echdc3	Esrrb	Nrarp	NA
Ugt2b1	Dennd4b	Nsl1	NA
Mindy3	Ift57	Obsl1	NA
Dpy19l3	Snn	Omp	NA
Eif4g3	Angptl8	Parp2	NA
Nat8	Pdgfb	Parvb	NA
Cyp7b1	Tnfaip8	Pik3cg	NA
Uba7	Gdf3	Plcb2	NA
Nqo1	Gm13375	Plxna1	NA
Gstt3	Tbc1d9	Ptpre	NA
Slc16a5	Cd63	Rhob	NA
Grid1	Cd160	Rtl6	NA
Gm5884	Acod1	Runx1	NA
F2r	Cd74	Sash3	NA
C330002G04Rik	Hk2	Slc2a3	NA
Fmo4	Dgkz	Slc38a1	NA
Glyat	H2-DMa	Soga1	NA
Tuft1	H2-M3	Sox17	NA
Nudt7	Gm7592	Srsf1	NA
Dqx1	Gsg1l	Stx3	NA
Phyh	Tnfaip3	Tbx21	NA
St3gal6	Tns3	Tcaf1	NA
Vldlr	AI662270	Timp1	NA
Esr1	H2-Ab1	Tmem65	NA
Gm48262	Ikzf1	Tnfrsf11a	NA
Sult2a1	Apobec3	Trac	NA
Igkv3-5	Klc1	Trbc2	NA
Comt	Ids	NA	NA
H2-Q1	Wipf1	NA	NA
Hao2	Col6a2	NA	NA
Tox	Pear1	NA	NA
Serpina1c	Pola1	NA	NA
Bche	Tamm41	NA	NA
Pard3b	Acap1	NA	NA
Cd36	Cep83os	NA	NA
Gnai1	Ccl2	NA	NA
Gbp7	Pld2	NA	NA
Hamp2	Slc4a9	NA	NA
Ugt2b38	Gimap3	NA	NA
Endod1	H2-DMb1	NA	NA
Cyp2f2	Srgap2	NA	NA
Slc16a7	Ltbp4	NA	NA
Slc35e3	Mamdc2	NA	NA
Cyp2a22	Itgb7	NA	NA
Sult3a1	Gm33699	NA	NA
Sel1l3	Gpr137b-ps	NA	NA
Tmem243	Rassf2	NA	NA
Etfbkmt	Lat2	NA	NA
Gm29920	Rims3	NA	NA
Klhl13	Cd3e	NA	NA
C730027H18Rik	Jdp2	NA	NA
C9	Thy1	NA	NA
Notum	Cxcr3	NA	NA
Slc22a30	Igfbp3	NA	NA
Echdc2	Kcng2	NA	NA
Fbxl21	Art2b	NA	NA
Stambpl1	Ckap4	NA	NA
Setbp1	Unc13d	NA	NA
Il1rap	Ptpn7	NA	NA
Ildr2	S100a4	NA	NA
Mpc1	Cds1	NA	NA
Coro7	Bcl2a1d	NA	NA
Enpp3	Rel	NA	NA
Mup21	Arrdc1	NA	NA
Mug1	Sh2d2a	NA	NA
Klhl2	Cnn2	NA	NA
Hpgd	Unc5b	NA	NA
Cmtm6	Acss1	NA	NA
Rbm3	Ltb	NA	NA
Sult1c2	9930111J21Rik2	NA	NA
Cux1	Cd83	NA	NA
Rasa3	Il21r	NA	NA
Egfr	Cd6	NA	NA
Tspan7	Ccr7	NA	NA
Lama3	Myo9a	NA	NA
AI463229	Rasgrp1	NA	NA
Ces4a	Mmp2	NA	NA
Camp	Gnb2	NA	NA
Mgst3	Dchs1	NA	NA
Map3k6	Lpxn	NA	NA
Aox3	Rps18-ps3	NA	NA
Gsr	Stard9	NA	NA
Dhrs7	Cd52	NA	NA
Pon2	Nod2	NA	NA
Nsun2	Tnfrsf26	NA	NA
Vnn3	E130307A14Rik	NA	NA
Cyp2c67	Fut4	NA	NA
Selenbp2	Cpm	NA	NA
Lin7a	Cd8a	NA	NA
Setd6	S100a11	NA	NA
Igfals	Mfng	NA	NA
Prom1	Epb41l2	NA	NA
Entpd8	Smim24	NA	NA
Samd9l	Dennd2a	NA	NA
Fgf1	Gm15523	NA	NA
Mup14	Col16a1	NA	NA
Ahsg	Akr1b10	NA	NA
Ugt1a5	Gm26873	NA	NA
Slc25a17	Fmnl3	NA	NA
Prelid2	Il16	NA	NA
Nat8f5	Pdk3	NA	NA
Ephx2	Gpr18	NA	NA
Tram1	Cd3g	NA	NA
Slc22a29	Sp110	NA	NA
Edem2	NA	NA	NA
Gbp3	NA	NA	NA
Sec63	NA	NA	NA
Fitm1	NA	NA	NA
Mbl2	NA	NA	NA
Gabarapl2	NA	NA	NA
Zfp706	NA	NA	NA
Mup11	NA	NA	NA
Sqor	NA	NA	NA
Xiap	NA	NA	NA
Asb13	NA	NA	NA
Scp2-ps2	NA	NA	NA
Gm40787	NA	NA	NA
Zfp820	NA	NA	NA
Hprt	NA	NA	NA
Tmem167-ps2	NA	NA	NA
Eci3	NA	NA	NA
Paxx	NA	NA	NA
Irf6	NA	NA	NA
Rxrg	NA	NA	NA
Arl6ip1	NA	NA	NA
Tsg101	NA	NA	NA
Cyp4v3	NA	NA	NA
Slc25a33	NA	NA	NA
Acad9	NA	NA	NA
Tenm3	NA	NA	NA
Acox3	NA	NA	NA
Keg1	NA	NA	NA
Asl	NA	NA	NA
Igfbp5	NA	NA	NA
Serpinb1a	NA	NA	NA
Tfcp2l1	NA	NA	NA
Erg28	NA	NA	NA
Rassf3	NA	NA	NA
