Trendy genes	Module genes	Module genes:Hub genes	Trendy genes:Module genes	Trendy genes:Module genes:Hub genes
Oxct2b	1110008P14Rik	0610012G03Rik	F830016B08Rik	Atp5l
Igtp	1190007I07Rik	Acot13	Dtnbp1	Rpl27
Eif2s3y	1810037I17Rik	Atp5c1	Sctr	Atp5g3
Fgg	1810044D09Rik	Atp5d	Card19	Sem1
Uty	1810058I24Rik	Atp5e	Tbcb	Mrpl14
Col3a1	2010204K13Rik	Atp5g1	Fam53a	Cox5a
Defa17	2210016L21Rik	Atp5g2	Mrps12	Ndufa8
Amd1	2210408F21Rik	Atp5h	Nxn	Tnni2
Serpinb6a	2310001H17Rik	Atp5j	Zranb1	Psmb1
Zp2	2310009B15Rik	Atp5j2	Zfp358	Rps14
Col5a2	2310039H08Rik	Atp5mpl	Zdhhc18	Pam16
Tmem37	2310040G24Rik	Atp5o	Zdhhc4	Mrps18a
Irx3os	2410006H16Rik	Chchd1	CT010467.1	Psmb3
Psmd8	2610306M01Rik	Chchd10	Ubc	Ndufb2
1700001O22Rik	2810029C07Rik	Cisd1	Kcne1l	Pfdn5
Baiap3	3110021N24Rik	Cox14	Ccdc85c	mt-Nd2
Kera	3300002P13Rik	Cox4i1	Arpc5l	Rpl36
Mettl21c	5430431A17Rik	Cox5b	Cltb	Rps16
Cacna2d4	A330074K22Rik	Cox6a2	Atp6v1f	Rpl13
Grina	AI837181	Cox6b1	Psmg4	Elob
Cyfip2	Aamdc	Cox6c	Zswim7	Rpl41
Nrep	Acyp1	Cox7a1	Neurl2	NA
Loxl1	Adh5	Cox7a2	Crim1	NA
Anxa7	Adi1	Cox7c	A830052D11Rik	NA
Slc38a4	Adig	Cox8a	Grpel1	NA
Cav3	Adipor2	Cox8b	Gm7607	NA
2310039L15Rik	Aip	D8Ertd738e	Selenok	NA
Cd248	Ak6	Fau	Eloc	NA
Abcc8	Akr1a1	Fmc1	Psmb2	NA
Thbs3	Akt1	Fxyd1	Ube2e1	NA
Amy1	Aldoart2	Gng5	Cst6	NA
Car3	Alkbh6	Higd1a	Smim4	NA
Lrrc15	Alkbh7	Hint2	Tsg101	NA
Smox	Anapc11	Krtcap2	Rtraf	NA
Slc2a3	Anapc13	Lamtor2	Avpi1	NA
Vldlr	Angpt2	Lars2	Vps28	NA
Sub1	Anp32a	Mpc2	Dvl1	NA
Gstm2	Ap1b1	Mrpl23	NA	NA
Col5a1	Ap1s2	Mrpl33	NA	NA
Hipk2	Ap2s1	Mrpl51	NA	NA
Rasd2	Apobec2	Mrps21	NA	NA
Cilp2	Apod	Mrps24	NA	NA
Aldh1a1	Apoo	Mylpf	NA	NA
Plekhb1	Aprt	Ndufa11	NA	NA
Gm8818	Arl2	Ndufa12	NA	NA
Mss51	Arl3	Ndufa13	NA	NA
Ube4bos1	Asb16	Ndufa2	NA	NA
Casp12	Asb8	Ndufa4	NA	NA
Dbn1	Atox1	Ndufa5	NA	NA
Ces1d	Atp6v0b	Ndufa6	NA	NA
Rhpn2	Atp6v0e	Ndufa7	NA	NA
Slc41a2	Atp6v1d	Ndufb10	NA	NA
Fn1	Atpif1	Ndufb11	NA	NA
Ambn	Atraid	Ndufb4	NA	NA
Ubl7	Auh	Ndufb5	NA	NA
Olfr816	Aven	Ndufb6	NA	NA
Spata4	B230307C23Rik	Ndufb7	NA	NA
Apoe	B9d1	Ndufb8	NA	NA
Gm43251	B9d2	Ndufb9	NA	NA
St3gal5	BC031181	Ndufc1	NA	NA
