Trendy genes	Module genes	Trendy genes:Module genes	Trendy genes:Module genes:Hub genes	Module genes:Hub genes
Oxct2b	1500011B03Rik	Kera	Col3a1	Adamts2
Igtp	1700003F12Rik	Loxl1	Col5a2	Antxr2
Eif2s3y	2310058D17Rik	Cd248	Col5a1	Axl
Fgg	4930402H24Rik	Thbs3	Fn1	C3
Uty	6330549D23Rik	Lrrc15	Fstl1	Clec3b
Defa17	AI467606	Cilp2	Serpinf1	Col1a1
Amd1	AW551984	Dbn1	Dstn	Col1a2
Serpinb6a	Abca1	Hacd1	Angptl1	Ddr2
Zp2	Abca9	Golim4	Pcolce	Fbn1
Tmem37	Ackr3	Col5a3	Itgbl1	Islr
Irx3os	Acly	Tnc	Olfml3	Lpar1
Psmd8	Acp5	Rftn1	Nid1	Metrnl
1700001O22Rik	Actc1	Palld	Dok2	Mfap5
Baiap3	Adam19	Cdr2l	Sod3	Mmp2
Mettl21c	Adamts12	Lox	Pi16	Mrc1
Cacna2d4	Adamts14	Map2k3	Ssc5d	Mrc2
Grina	Adamts15	AI506816	Sparc	Olfml2b
Cyfip2	Adamts7	Ccnd3	Col6a2	P3h3
Nrep	Adamtsl1	Ctsk	Igfbp6	Pltp
Anxa7	Adamtsl3	Abcd1	Tgfbi	Rcn1
Slc38a4	Adarb1	Eef1a1	Col6a1	Rcn3
Cav3	Adcy7	Fkbp10	Cd34	Rnase4
2310039L15Rik	Aebp1	Pdgfrl	Plxdc2	NA
Abcc8	Aga	Dpt	Ndn	NA
Amy1	Agfg2	Col4a2	Col6a3	NA
Car3	Agpat4	Thbs2	Fndc1	NA
Smox	Agrn	Col15a1	Serping1	NA
Slc2a3	Ahnak	Igf1	Timp2	NA
Vldlr	Aldh1a3	Col4a1	Pcolce2	NA
Sub1	Alg3	Ltbr	Anxa2	NA
Gstm2	Ammecr1	Lamc1	Lrp1	NA
Hipk2	Ang	Creb3l1	NA	NA
Rasd2	Angptl4	Tmem30b	NA	NA
Aldh1a1	Angptl7	Tmem178b	NA	NA
Plekhb1	Anpep	Entpd1	NA	NA
Gm8818	Antxr1	Plod1	NA	NA
Mss51	Anxa3	Fibin	NA	NA
Ube4bos1	Anxa8	Maged1	NA	NA
Casp12	Apba1	Chodl	NA	NA
Ces1d	Aplnr	Crtap	NA	NA
Rhpn2	Arap1	Thbs4	NA	NA
Slc41a2	Arf3	Ggta1	NA	NA
Ambn	Arf4	Serpinh1	NA	NA
Ubl7	Arhgap1	Lyz1	NA	NA
Olfr816	Arhgap33	Stt3a	NA	NA
Spata4	Arhgap4	Piezo1	NA	NA
Apoe	Arhgef10	Trp53inp2	NA	NA
Gm43251	Arhgef40	Ace	NA	NA
St3gal5	Arl4c	Fmod	NA	NA
Ssu72	Arl6ip1	Tubb4a	NA	NA
F830016B08Rik	Armcx1	Ltbp1	NA	NA
Ddx50	Armcx2	Mrgprg	NA	NA
Samd10	Arsa	Tspan5	NA	NA
Olfr73	Arsi	Exoc7	NA	NA
Itpr1	Asah1	Mthfr	NA	NA
Rbm3	Asap3	Boc	NA	NA
Meg3	Aspn	Clu	NA	NA
Cacng1	Atp10a	Sptbn1	NA	NA
Msrb1	Atp13a1	Pdgfra	NA	NA
Mib1	Atp6v1g2	Aplp2	NA	NA
Cuzd1	B3galnt1	Pdia4	NA	NA
Nipal1	B3glct	Gsn	NA	NA
Gm12240	B3gnt9	Grem2	NA	NA
Cpxm1	B4galt4	Phyhd1	NA	NA
Nqo1	Bace2	Prelp	NA	NA
Cd44	Basp1	Mbtps1	NA	NA
Cd27	Bex3	Actn1	NA	NA
Amd2	Bglap	Col2a1	NA	NA
Acsl6	Bglap2	Gm11451	NA	NA
Mvp	Bgn	Fndc3b	NA	NA
D130043K22Rik	Bicc1	Fbln2	NA	NA
Kcnh8	Bmp1	Gclm	NA	NA
Ak3	Bok	Pabpc1	NA	NA
Sesn1	Btg1	Itga11	NA	NA
Cited4	C130080G10Rik	Mlf1	NA	NA
Dtnbp1	C1qtnf1	Wfdc1	NA	NA
Trafd1	C1qtnf2	Cald1	NA	NA
Tfcp2l1	C1qtnf6	Hpcal1	NA	NA
Tmem132b	C1qtnf7	Rmdn1	NA	NA
Lrp2bp	C1rl	Tceal8	NA	NA
9830004L10Rik	C1s1	Kctd12	NA	NA
Tdrp	C2	Lamb1	NA	NA
Eya4	C5ar2	Pip4p2	NA	NA
Eldr	Cacna1g	Abi3bp	NA	NA
Maob	Cadm3	Tram1	NA	NA
Pthlh	Calhm2	Htra3	NA	NA
Timp1	Calhm5	Sulf1	NA	NA
Apoc4	Calr	Tent5a	NA	NA
Ostn	Calu	Pttg1ip	NA	NA
Ociad2	Camk1d	Sf3b3	NA	NA
1810013L24Rik	Camkk1	Podn	NA	NA
Stau2	Camkk2	Fgl2	NA	NA
Ppp1r1a	Cap1	Pgghg	NA	NA
Atp13a5	Capn5	Ganab	NA	NA
Naip3	Capn6	Tnmd	NA	NA
Plbd2	Capza1	Rnd3	NA	NA
Sbk2	Carhsp1	Nsmf	NA	NA
Egf	Casp2	Itm2c	NA	NA
Prkcd	Cass4	Prrg3	NA	NA
Usp46	Cavin3	Emp1	NA	NA
Acox1	Cbr3	Telo2	NA	NA
Prkcq	Ccdc3	St6galnac4	NA	NA
Camk2b	Ccdc74a	Adamts10	NA	NA
Sln	Ccdc8	Ckb	NA	NA
Narf	Ccdc80	Map4k4	NA	NA
Metap2	Ccnd2	Ntn1	NA	NA
Gm47974	Cd1d1	1810055G02Rik	NA	NA
Gm33432	Cd209c	Dcn	NA	NA
Yaf2	Cd209d	Epb41l2	NA	NA
Rab3ip	Cd38	Mob1a	NA	NA
Wsb2	Cd47	Fzd1	NA	NA
Tspan12	Cd81	Ret	NA	NA
Gm1527	Cd9	Mfap4	NA	NA
Dusp3	Cdc25b	Srpx	NA	NA
Bace1	Cdca8	Plod3	NA	NA
Gm42496	Cdk2ap2	NA	NA	NA
Cpe	Cebpa	NA	NA	NA
Zrsr1	Cenpa	NA	NA	NA
Selenbp1	Cercam	NA	NA	NA
Sctr	Cerk	NA	NA	NA
Ak4	Cers2	NA	NA	NA
Atp5l	Cfap20	NA	NA	NA
Mybpc1	Cgnl1	NA	NA	NA
Ighg2c	Chad	NA	NA	NA
Card19	Chd3	NA	NA	NA
Map4	Chid1	NA	NA	NA
Olfr1262	Chpf	NA	NA	NA
Stat4	Chrdl1	NA	NA	NA
Nnt	Chst12	NA	NA	NA
A530083M17Rik	Clec11a	NA	NA	NA
Ypel2	Clip3	NA	NA	NA
D430041D05Rik	Clmp	NA	NA	NA
Peg3	Cln8	NA	NA	NA
Kcnq5	Clptm1l	NA	NA	NA
Angpt1	Cma1	NA	NA	NA
Aff3	Cmip	NA	NA	NA
Rorc	Cmklr1	NA	NA	NA
Lhfpl3	Cmtm3	NA	NA	NA
Grin3b	Cnn3	NA	NA	NA
Gm43834	Cnpy3	NA	NA	NA
Olfr1269	Cnpy4	NA	NA	NA
Rnf128	Col12a1	NA	NA	NA
Cyp4a28-ps	Col14a1	NA	NA	NA
Bin1	Col16a1	NA	NA	NA
