Trendy genes	Module genes	Trendy genes:Module genes	Module genes:Hub genes	Trendy genes:Module genes:Hub genes
Oxct2b	1810030O07Rik	Abcc8	Ddx3x	Cyfip2
Igtp	4930511M06Rik	Meg3	Eif2s3x	NA
Eif2s3y	5430401H09Rik	Sesn1	Gm15337	NA
Fgg	5530601H04Rik	Usp46	Gm47708	NA
Uty	Abhd18	Narf	Homer2	NA
Col3a1	Acox3	Gm33432	Lamb2	NA
Defa17	Acy1	Tspan12	Mybph	NA
Amd1	Adamts8	Ak4	Neu2	NA
Serpinb6a	Adamtsl4	Peg3	Padi2	NA
Zp2	Adora1	Angpt1	Xist	NA
Col5a2	Angptl2	Aff3	NA	NA
Tmem37	Ankrd23	Lman2l	NA	NA
Irx3os	Ankrd46	Smtnl1	NA	NA
Psmd8	Arhgef9	Got2	NA	NA
1700001O22Rik	Atp1a2	Myh2	NA	NA
Baiap3	Best3	Fgf2	NA	NA
Kera	C330018D20Rik	Atp1b2	NA	NA
Mettl21c	Car14	Zfp703	NA	NA
Cacna2d4	Car9	Plod2	NA	NA
Grina	Casq2	4933404O12Rik	NA	NA
Nrep	Cpox	Grb10	NA	NA
Loxl1	Cuedc1	Rian	NA	NA
Anxa7	D630024D03Rik	Gpc3	NA	NA
Slc38a4	Dapp1	Drp2	NA	NA
Cav3	Dars	Kcnj11	NA	NA
2310039L15Rik	Dbt	Myoz2	NA	NA
Cd248	Dnph1	Pex6	NA	NA
Thbs3	Dtna	Egln3	NA	NA
Amy1	Eif4a2	Pitpnc1	NA	NA
Car3	Fam3c	Ptprf	NA	NA
Lrrc15	Fgf1	Tspan7	NA	NA
Smox	Fkbp4	Smcr8	NA	NA
Slc2a3	Flad1	H19	NA	NA
Vldlr	Fzd9	Ablim1	NA	NA
Sub1	G3bp1	Mamstr	NA	NA
Gstm2	Gle1	Dag1	NA	NA
Col5a1	Gm11752	Macrod2	NA	NA
Hipk2	Gm14769	Irak1	NA	NA
Rasd2	Gm15179	Rhot2	NA	NA
Cilp2	Gm2115	Armcx4	NA	NA
Aldh1a1	Gm48630	NA	NA	NA
Plekhb1	Gm49336	NA	NA	NA
Gm8818	Gpt	NA	NA	NA
Mss51	Hccs	NA	NA	NA
Ube4bos1	Hnmt	NA	NA	NA
Casp12	Igsf1	NA	NA	NA
Dbn1	Inha	NA	NA	NA
Ces1d	Irgm2	NA	NA	NA
Rhpn2	Itga3	NA	NA	NA
Slc41a2	Kdm5c	NA	NA	NA
Fn1	Lrrc75a	NA	NA	NA
Ambn	Lrtm1	NA	NA	NA
Ubl7	Lsm6	NA	NA	NA
Olfr816	Ltbp4	NA	NA	NA
Spata4	Mindy2	NA	NA	NA
Apoe	Mmaa	NA	NA	NA
Gm43251	Mxra8	NA	NA	NA
St3gal5	Myl3	NA	NA	NA
Ssu72	Nr3c1	NA	NA	NA
F830016B08Rik	Nudt1	NA	NA	NA
Ddx50	Obsl1	NA	NA	NA
Samd10	Os9	NA	NA	NA
Olfr73	Parm1	NA	NA	NA
Itpr1	Pbdc1	NA	NA	NA
Rbm3	Pknox2	NA	NA	NA
Cacng1	Pla2g12a	NA	NA	NA
Msrb1	Platr14	NA	NA	NA
Mib1	Prcc	NA	NA	NA
Hacd1	Prkag1	NA	NA	NA
Cuzd1	Prr32	NA	NA	NA
Nipal1	Rab15	NA	NA	NA
Gm12240	Rps2	NA	NA	NA
Cpxm1	Rtn4ip1	NA	NA	NA
Nqo1	Shmt1	NA	NA	NA
Cd44	Slc1a1	NA	NA	NA
Cd27	Slc26a10	NA	NA	NA
Amd2	Slc39a3	NA	NA	NA
Acsl6	Snap23	NA	NA	NA
Fstl1	Socs2	NA	NA	NA
Mvp	Spop	NA	NA	NA
D130043K22Rik	Stc2	NA	NA	NA
Golim4	Tmem129	NA	NA	NA
Kcnh8	Tmem229b	NA	NA	NA
Col5a3	Tmem52	NA	NA	NA
Ak3	Tmem9	NA	NA	NA
Cited4	Twnk	NA	NA	NA
Dtnbp1	Ubap2l	NA	NA	NA
Trafd1	Zfp503	NA	NA	NA
Tfcp2l1	Zfp710	NA	NA	NA
Tmem132b	NA	NA	NA	NA
Lrp2bp	NA	NA	NA	NA
9830004L10Rik	NA	NA	NA	NA
Tnc	NA	NA	NA	NA
Tdrp	NA	NA	NA	NA
Eya4	NA	NA	NA	NA
Eldr	NA	NA	NA	NA
Maob	NA	NA	NA	NA
Pthlh	NA	NA	NA	NA
Timp1	NA	NA	NA	NA
Apoc4	NA	NA	NA	NA
Ostn	NA	NA	NA	NA
Rftn1	NA	NA	NA	NA
Ociad2	NA	NA	NA	NA
1810013L24Rik	NA	NA	NA	NA
Stau2	NA	NA	NA	NA
Ppp1r1a	NA	NA	NA	NA
Palld	NA	NA	NA	NA
Cdr2l	NA	NA	NA	NA
Atp13a5	NA	NA	NA	NA
Naip3	NA	NA	NA	NA
Lox	NA	NA	NA	NA
Plbd2	NA	NA	NA	NA
Map2k3	NA	NA	NA	NA
Sbk2	NA	NA	NA	NA
Egf	NA	NA	NA	NA
Prkcd	NA	NA	NA	NA
Acox1	NA	NA	NA	NA
Prkcq	NA	NA	NA	NA
Camk2b	NA	NA	NA	NA
AI506816	NA	NA	NA	NA
Sln	NA	NA	NA	NA
Metap2	NA	NA	NA	NA
Gm47974	NA	NA	NA	NA
Yaf2	NA	NA	NA	NA
Rab3ip	NA	NA	NA	NA
Wsb2	NA	NA	NA	NA
Gm1527	NA	NA	NA	NA
Dusp3	NA	NA	NA	NA
Bace1	NA	NA	NA	NA
Ccnd3	NA	NA	NA	NA
Gm42496	NA	NA	NA	NA
Cpe	NA	NA	NA	NA
Zrsr1	NA	NA	NA	NA
Ctsk	NA	NA	NA	NA
Abcd1	NA	NA	NA	NA
Selenbp1	NA	NA	NA	NA
Eef1a1	NA	NA	NA	NA
Sctr	NA	NA	NA	NA
Fkbp10	NA	NA	NA	NA
Atp5l	NA	NA	NA	NA
Mybpc1	NA	NA	NA	NA
Ighg2c	NA	NA	NA	NA
Card19	NA	NA	NA	NA
Map4	NA	NA	NA	NA
Pdgfrl	NA	NA	NA	NA
Dpt	NA	NA	NA	NA
Olfr1262	NA	NA	NA	NA
Stat4	NA	NA	NA	NA
Nnt	NA	NA	NA	NA
A530083M17Rik	NA	NA	NA	NA
Ypel2	NA	NA	NA	NA
D430041D05Rik	NA	NA	NA	NA
Col4a2	NA	NA	NA	NA
Kcnq5	NA	NA	NA	NA
Thbs2	NA	NA	NA	NA
Rorc	NA	NA	NA	NA
Lhfpl3	NA	NA	NA	NA
Grin3b	NA	NA	NA	NA
Gm43834	NA	NA	NA	NA
Olfr1269	NA	NA	NA	NA
Rnf128	NA	NA	NA	NA
Cyp4a28-ps	NA	NA	NA	NA
Bin1	NA	NA	NA	NA
Vmn1r195	NA	NA	NA	NA
Serinc3	NA	NA	NA	NA
Olfr970	NA	NA	NA	NA
Sel1l3	NA	NA	NA	NA
Cd24a	NA	NA	NA	NA
Srl	NA	NA	NA	NA
Pkig	NA	NA	NA	NA
Mpnd	NA	NA	NA	NA
Olfr366	NA	NA	NA	NA
Tff1	NA	NA	NA	NA
Tbcb	NA	NA	NA	NA
Mllt11	NA	NA	NA	NA
Krt1	NA	NA	NA	NA
Col15a1	NA	NA	NA	NA
Mfsd6	NA	NA	NA	NA
Asb11	NA	NA	NA	NA
Igf1	NA	NA	NA	NA
Gpr26	NA	NA	NA	NA
Fam53a	NA	NA	NA	NA
Ppp3ca	NA	NA	NA	NA
Serpinf1	NA	NA	NA	NA
Tprgl	NA	NA	NA	NA
Cyp2c67	NA	NA	NA	NA
Exoc5	NA	NA	NA	NA
Brca1	NA	NA	NA	NA
Gm38158	NA	NA	NA	NA
Dnajb6	NA	NA	NA	NA
Gm26814	NA	NA	NA	NA
Gm15478	NA	NA	NA	NA
Col4a1	NA	NA	NA	NA
Clic6	NA	NA	NA	NA
Rnf114	NA	NA	NA	NA
Pld5	NA	NA	NA	NA
Pou4f1	NA	NA	NA	NA
Cnbp	NA	NA	NA	NA
Olfr461	NA	NA	NA	NA
Vmn2r65	NA	NA	NA	NA
Gm7265	NA	NA	NA	NA
Ets1	NA	NA	NA	NA
Akap4	NA	NA	NA	NA
Mchr1	NA	NA	NA	NA
Rab2a	NA	NA	NA	NA
Ripor2	NA	NA	NA	NA
Fgf13	NA	NA	NA	NA
P2ry1	NA	NA	NA	NA
Tbx15	NA	NA	NA	NA
Rpl27	NA	NA	NA	NA
Mapre3	NA	NA	NA	NA
Swsap1	NA	NA	NA	NA
Cyp3a11	NA	NA	NA	NA
Atp5g3	NA	NA	NA	NA
Ccdc85a	NA	NA	NA	NA
Cacna1e	NA	NA	NA	NA
Ston2	NA	NA	NA	NA
Eif4ebp2	NA	NA	NA	NA
4930568E12Rik	NA	NA	NA	NA
Nxph2	NA	NA	NA	NA
Gm3234	NA	NA	NA	NA
Tcf7	NA	NA	NA	NA
Ms4a1	NA	NA	NA	NA
Rflnb	NA	NA	NA	NA
Ltbr	NA	NA	NA	NA
H2-Eb2	NA	NA	NA	NA
Fth1	NA	NA	NA	NA
Lamc1	NA	NA	NA	NA
Spata3	NA	NA	NA	NA
Gbp4	NA	NA	NA	NA
Dstn	NA	NA	NA	NA
Tgfb3	NA	NA	NA	NA
Lipc	NA	NA	NA	NA
Dapk2	NA	NA	NA	NA
Nedd4l	NA	NA	NA	NA
6430710M23Rik	NA	NA	NA	NA
Rhobtb1	NA	NA	NA	NA
Lrrc9	NA	NA	NA	NA
Creb3l1	NA	NA	NA	NA
Mrps12	NA	NA	NA	NA
Tmem30b	NA	NA	NA	NA
Spag7	NA	NA	NA	NA
Olfr1406	NA	NA	NA	NA
Tmem178b	NA	NA	NA	NA
Slc44a5	NA	NA	NA	NA
Rab4a	NA	NA	NA	NA
Gm28800	NA	NA	NA	NA
Galnt17	NA	NA	NA	NA
Slc25a28	NA	NA	NA	NA
Isg20	NA	NA	NA	NA
