Trendy genes	Module genes	Trendy genes:Module genes	Trendy genes:Module genes:Hub genes	Module genes:Hub genes
Oxct2b	1110046J04Rik	Mettl21c	Eif2s3y	C7
Igtp	1600020E01Rik	Cacna2d4	Uty	Cbr2
Fgg	1810041H14Rik	Slc38a4	Amd1	Cdk19
Col3a1	2310015A10Rik	Smox	Serpinb6a	Ddx3y
Defa17	2310040G07Rik	Gm8818	Tmem37	Eif4ebp1
Zp2	2310061I04Rik	Mss51	Irx3os	Fam131a
Col5a2	2310065F04Rik	Casp12	Psmd8	Gm10032
Baiap3	2700038G22Rik	St3gal5	1700001O22Rik	Gm8734
Kera	2900076A07Rik	Itpr1	Grina	Htra4
Cyfip2	3110045C21Rik	Rbm3	Anxa7	Kdm5d
Nrep	4632428C04Rik	Msrb1	Slc2a3	Ldlr
Loxl1	4833418N02Rik	Cd27	Vldlr	Mgst1
Cav3	4930453N24Rik	Acsl6	Sub1	Musk
2310039L15Rik	4931413K12Rik	Cited4	Hipk2	Nek6
Cd248	8430426J06Rik	Tmem132b	Ubl7	Ppp1r14b
Abcc8	9330121K16Rik	9830004L10Rik	Samd10	Slc15a5
Thbs3	A930004J17Rik	Tdrp	Gm12240	Slc30a2
Amy1	Abcg4	Eya4	Amd2	Spns2
Car3	Abhd16a	Pthlh	Tfcp2l1	Stab2
Lrrc15	Abi2	1810013L24Rik	Sbk2	NA
Gstm2	Acsl3	Atp13a5	Wsb2	NA
Col5a1	Actr3b	Plbd2	NA	NA
Rasd2	Adcy2	Prkcd	NA	NA
Cilp2	Afap1l1	Metap2	NA	NA
Aldh1a1	Aff1	Yaf2	NA	NA
Plekhb1	Ahcy	Dusp3	NA	NA
Ube4bos1	Akr1b8	Bace1	NA	NA
Dbn1	Amhr2	D430041D05Rik	NA	NA
Ces1d	Anks6	Grin3b	NA	NA
Rhpn2	Ano10	Bin1	NA	NA
Slc41a2	Ano6	Serinc3	NA	NA
Fn1	Anxa6	Cd24a	NA	NA
Ambn	Arf5	Mpnd	NA	NA
Olfr816	Arrdc1	Mllt11	NA	NA
Spata4	Asb5	Gm38158	NA	NA
Apoe	Aspa	Clic6	NA	NA
Gm43251	Atp8a1	Rnf114	NA	NA
Ssu72	B3gnt2	Gm7265	NA	NA
F830016B08Rik	B930095G15Rik	Mchr1	NA	NA
Ddx50	BC023105	Tbx15	NA	NA
Olfr73	Bach1	Eif4ebp2	NA	NA
Meg3	Bcl2	Galnt17	NA	NA
Cacng1	Bhlhe41	Vps72	NA	NA
Mib1	Bmp8a	Cirbp	NA	NA
Hacd1	Bnip3	Eef2k	NA	NA
Cuzd1	Bvht	Atp6v1h	NA	NA
Nipal1	Calm3	Fam20b	NA	NA
Cpxm1	Camk2a	Tmem100	NA	NA
Nqo1	Carm1	Ccdc85b	NA	NA
Cd44	Ccdc12	Cds1	NA	NA
Fstl1	Ccdc186	Cadm1	NA	NA
Mvp	Ccdc91	Sqstm1	NA	NA
D130043K22Rik	Cd151	Kcnab1	NA	NA
Golim4	Cd164	Irx3	NA	NA
Kcnh8	Cdipt	Prkag3	NA	NA
Col5a3	Cdk8	Vac14	NA	NA
Ak3	Cdkn1c	Col7a1	NA	NA
Sesn1	Cebpg	Cachd1	NA	NA
Dtnbp1	Cers1	Platr31	NA	NA
Trafd1	Cers5	Aurka	NA	NA
Lrp2bp	Cgref1	Lrrn1	NA	NA
Tnc	Chchd4	Prr5	NA	NA
Eldr	Chpt1	Tpx2	NA	NA
Maob	Chrna4	Gprc5b	NA	NA
Timp1	Clec16a	Nol3	NA	NA
Apoc4	Clip1	Gm4017	NA	NA
Ostn	Clk4	Gprc5c	NA	NA
Rftn1	Col4a4	0610009L18Rik	NA	NA
Ociad2	Commd4	Mr1	NA	NA
Stau2	Cpeb1	Golph3	NA	NA
Ppp1r1a	Crip3	Npnt	NA	NA
Palld	Crot	Arhgef17	NA	NA
Cdr2l	Csnk1a1	Tada2a	NA	NA
Naip3	Cuedc2	Lingo3	NA	NA
Lox	Cyp27a1	Plekha2	NA	NA
Map2k3	D830032E09Rik	Stt3b	NA	NA
Egf	Ddit4l	Reep5	NA	NA
Usp46	Diaph1	Morn4	NA	NA
Acox1	Dlgap4	Rab40b	NA	NA
Prkcq	Dnajc25	Isca1	NA	NA
Camk2b	Dnajc27	Maz	NA	NA
AI506816	Dnttip2	Mpzl3	NA	NA
Sln	Dpf1	Npc1	NA	NA
Narf	Dtnb	Jak1	NA	NA
Gm47974	Dupd1	A230085B16Rik	NA	NA
Gm33432	Dyrk1a	Tulp4	NA	NA
Rab3ip	Eea1	Nos1ap	NA	NA
Tspan12	Efcab6	Cdkn2c	NA	NA
Gm1527	Enho	Cnksr1	NA	NA
Ccnd3	Ermp1	Jph1	NA	NA
Gm42496	Esd	Sms	NA	NA
Cpe	Evc	Lifr	NA	NA
Zrsr1	Evc2	Cdc42se2	NA	NA
Ctsk	Extl1	Rab13	NA	NA
Abcd1	Eya1	Ube2k	NA	NA
Selenbp1	Faf1	Katnal2	NA	NA
Eef1a1	Fam214b	Ppp1cc	NA	NA
Sctr	Fam219a	Vezt	NA	NA
Fkbp10	Fam220a	Tbc1d20	NA	NA
Ak4	Fam76a	Dnajc7	NA	NA
Atp5l	Fbxl4	Ccny	NA	NA
Mybpc1	Fbxo17	Rai14	NA	NA
Ighg2c	Fbxo32	Rnf150	NA	NA
Card19	Fbxo6	Fez2	NA	NA
Map4	Fetub	Mlph	NA	NA
Pdgfrl	Fgd4	Tmem159	NA	NA
Dpt	Fgf6	Ctxn3	NA	NA
Olfr1262	Foxn3	Relb	NA	NA
Stat4	Fscn2	Zfp652	NA	NA
Nnt	Fsd2	E130308A19Rik	NA	NA
A530083M17Rik	Gab2	Cd63	NA	NA
Ypel2	Gadl1	Srebf1	NA	NA
Col4a2	Galnt1	Amd-ps3	NA	NA
Peg3	Gars	Nln	NA	NA
Kcnq5	Gbp6	NA	NA	NA
Angpt1	Gck	NA	NA	NA
Aff3	Gdap1	NA	NA	NA
Thbs2	Gdf11	NA	NA	NA
Rorc	Ggt7	NA	NA	NA
Lhfpl3	Gm10110	NA	NA	NA
Gm43834	Gm16118	NA	NA	NA
Olfr1269	Gm16364	NA	NA	NA
Rnf128	Gm17040	NA	NA	NA
Cyp4a28-ps	Gm20735	NA	NA	NA
Vmn1r195	Gm22748	NA	NA	NA
Olfr970	Gm26885	NA	NA	NA
Sel1l3	Gm29521	NA	NA	NA
Srl	Gm31545	NA	NA	NA
Pkig	Gm32219	NA	NA	NA
Olfr366	Gm37829	NA	NA	NA
Tff1	Gm43699	NA	NA	NA
Tbcb	Gm45102	NA	NA	NA
Lman2l	Gm45218	NA	NA	NA
Krt1	Gm45670	NA	NA	NA
Col15a1	Gm45716	NA	NA	NA
Mfsd6	Gm4841	NA	NA	NA
Asb11	Gm49417	NA	NA	NA
Igf1	Gm6204	NA	NA	NA
Gpr26	Gm7694	NA	NA	NA
Fam53a	Gm9796	NA	NA	NA
Ppp3ca	Gm9869	NA	NA	NA
Smtnl1	Gnb5	NA	NA	NA
Serpinf1	Gnpat	NA	NA	NA
Tprgl	Golm1	NA	NA	NA
Cyp2c67	Gpank1	NA	NA	NA
Exoc5	Gpr157	NA	NA	NA
Brca1	Gypc	NA	NA	NA
Dnajb6	H2-M9	NA	NA	NA
Gm26814	H6pd	NA	NA	NA
Gm15478	Hddc2	NA	NA	NA
Col4a1	Hivep2	NA	NA	NA
Got2	Hmga1	NA	NA	NA
Pld5	Hsd11b1	NA	NA	NA
Pou4f1	Hsd17b7	NA	NA	NA
Cnbp	Ift122	NA	NA	NA
Olfr461	Il17re	NA	NA	NA
Vmn2r65	Irf8	NA	NA	NA
Myh2	Itgb1bp1	NA	NA	NA
Ets1	Jpt1	NA	NA	NA
Akap4	Kcnf1	NA	NA	NA
Rab2a	Klhl2	NA	NA	NA
