SYMBOL BIOTYPE
1700040F15Rik protein_coding
4932431L22Rik TEC
2810429I04Rik lncRNA
Asb13 protein_coding
1110002L01Rik lncRNA
Asxl2 protein_coding
Arhgap12 protein_coding
Akr1c14 protein_coding
Akr1c18 protein_coding
Akr1c13 protein_coding
Akr1c19 protein_coding
Akr1c12 protein_coding
1700030N03Rik lncRNA
Akr1c6 protein_coding
Akr1c20 protein_coding
Akr1c21 protein_coding
Akr1e1 protein_coding
1700016G22Rik lncRNA
4921524L21Rik protein_coding
2900042G08Rik TEC
1700037C18Rik protein_coding
1700016D08Rik TEC
2900024D18Rik TEC
Adarb2 protein_coding
1810055G02Rik protein_coding
Adcy3 protein_coding
AC173344.1 snRNA
Adcy9 protein_coding
Akap4 protein_coding
4921501I09Rik lncRNA
2010204K13Rik lncRNA
2900045O20Rik lncRNA
AW549877 protein_coding
Abhd3 protein_coding
Aldh3b1 protein_coding
4930563E18Rik lncRNA
4930562C15Rik protein_coding
Aldh3b3 protein_coding
Aldh3b2 protein_coding
Acy3 protein_coding
9330159N22Rik TEC
5430437J10Rik transcribed_processed_pseudogene
Anks3 protein_coding
4930451G09Rik transcribed_unitary_pseudogene
Atad2b protein_coding
2810032G03Rik lncRNA
1700101O22Rik lncRNA
Apob protein_coding
Actn2 protein_coding
Aip protein_coding
Ankrd29 protein_coding
Arhgef18 protein_coding
5033421B08Rik lncRNA
AU021092 protein_coding
Alg1 protein_coding
1700123O21Rik lncRNA
Abat protein_coding
B3galnt2 protein_coding
9930038B18Rik lncRNA
Ankrd13d protein_coding
Arid4b protein_coding
1700022H16Rik lncRNA
1810013L24Rik protein_coding
AF357341 snoRNA
Atf7ip2 protein_coding
A930001C03Rik lncRNA
5430414B19Rik lncRNA
2010003K11Rik protein_coding
7420701I03Rik lncRNA
1700062C10Rik lncRNA
9530020I12Rik lncRNA
Aqp4 protein_coding
B230110C06Rik lncRNA
1700034J04Rik TEC
4921522A10Rik lncRNA
AW209491 protein_coding
1700001G01Rik lncRNA
4933412O06Rik lncRNA
A530046M15Rik lncRNA
B230303A05Rik transcribed_processed_pseudogene
A530058O07Rik TEC
4930511A02Rik lncRNA
8430406P12Rik TEC
A930027P06Rik TEC
4930448F12Rik lncRNA
4932443L11Rik lncRNA
4921511I17Rik lncRNA
3732407C23Rik TEC
Agxt2 protein_coding
4930519A11Rik lncRNA
Amph protein_coding
Arid1b protein_coding
3300005D01Rik lncRNA
Actn3 protein_coding
4930556M19Rik lncRNA
4930448C13Rik lncRNA
B4galt6 protein_coding
9330199G10Rik lncRNA
Amacr protein_coding
Adamts12 protein_coding
9230019H11Rik lncRNA
B020014A21Rik lncRNA
B630019K06Rik protein_coding
1700047G03Rik lncRNA
4930402K13Rik protein_coding
Aoah protein_coding
4930426D05Rik lncRNA
Atxn7 protein_coding
Asxl3 protein_coding
4930509G22Rik lncRNA
Akap12 protein_coding
1810049J17Rik protein_coding
4930470G03Rik lncRNA
B4gat1 protein_coding
2610020C07Rik lncRNA
AK157302 protein_coding
Armt1 protein_coding
4921522P10Rik lncRNA
Arglu1 protein_coding
6030458C11Rik protein_coding
4933430N04Rik lncRNA
4930453L07Rik lncRNA
4930435N07Rik TEC
2900027M19Rik TEC
AC126055.1 snoRNA
Abhd13 protein_coding
4833415N18Rik lncRNA
4933416E14Rik transcribed_processed_pseudogene
5330413D20Rik lncRNA
