,Feature,Segment1.Slope,Segment2.Slope,Segment3.Slope,Segment4.Slope,Segment5.Slope,Segment1.Trend,Segment2.Trend,Segment3.Trend,Segment4.Trend,Segment5.Trend,Segment1.Pvalue,Segment2.Pvalue,Segment3.Pvalue,Segment4.Pvalue,Segment5.Pvalue,Breakpoint1,Breakpoint2,Breakpoint3,Breakpoint4,AdjustedR2,X3m_s1.Trend,X3m_s2.Trend,X3m_s3.Trend,X3m_s4.Trend,X3m_s5.Trend,X3m_s6.Trend,X6m_s1.Trend,X6m_s2.Trend,X6m_s3.Trend,X6m_s4.Trend,X6m_s5.Trend,X6m_s6.Trend,X9m_s1.Trend,X9m_s2.Trend,X9m_s3.Trend,X9m_s4.Trend,X9m_s5.Trend,X12m_s1.Trend,X12m_s2.Trend,X12m_s3.Trend,X12m_s4.Trend,X12m_s5.Trend,X12m_s6.Trend,X15m_s1.Trend,X15m_s2.Trend,X15m_s3.Trend,X15m_s4.Trend,X15m_s5.Trend,X18m_s1.Trend,X18m_s2.Trend,X18m_s3.Trend,X18m_s4.Trend,X18m_s5.Trend,X18m_s6.Trend,X21m_s1.Trend,X21m_s2.Trend,X21m_s3.Trend,X21m_s4.Trend,X21m_s5.Trend,X24m_s1.Trend,X24m_s2.Trend,X24m_s3.Trend,X24m_s4.Trend,X27m_s1.Trend,X27m_s2.Trend,X27m_s3.Trend
C4b,C4b,32.595,129.82,NA,NA,NA,1,1,NA,NA,NA,0.0944567615327917,0.040443424290972,NA,NA,NA,15.9176865279404,NA,NA,NA,0.859057156032843,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Lgals3bp,Lgals3bp,11.964,46.154,NA,NA,NA,1,1,NA,NA,NA,0.0572980807860542,0.0554337486223121,NA,NA,NA,20.2122482155717,NA,NA,NA,0.815554233866622,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gfap,Gfap,56.834,345.57,NA,NA,NA,0,1,NA,NA,NA,0.223697210401789,0.0381830269351089,NA,NA,NA,14.5349680107562,NA,NA,NA,0.788069854178414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2-K1,H2-K1,19.7121559524555,NA,NA,NA,NA,1,NA,NA,NA,NA,7.2260670352476e-16,NA,NA,NA,NA,NA,NA,NA,NA,0.773283637200759,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ctss,Ctss,15.6516551383471,NA,NA,NA,NA,1,NA,NA,NA,NA,1.91883799889546e-14,NA,NA,NA,NA,NA,NA,NA,NA,0.736231310913657,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C3,C3,1.4813,7.4304,NA,NA,NA,0,1,NA,NA,NA,0.149178240133247,0.0530818116743197,NA,NA,NA,17.2014665552992,NA,NA,NA,0.71813821747352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2-D1,H2-D1,14.308,59.821,NA,NA,NA,0,1,NA,NA,NA,0.15075206767758,0.0640456089398057,NA,NA,NA,15.2287228343121,NA,NA,NA,0.717733978433209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Neat1,Neat1,46.4432724952138,NA,NA,NA,NA,1,NA,NA,NA,NA,3.34375346166281e-13,NA,NA,NA,NA,NA,NA,NA,NA,0.698838886698707,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cd68,Cd68,0.75967,8.4787,NA,NA,NA,0,1,NA,NA,NA,0.283913621247393,0.0581638102727438,NA,NA,NA,15.9317106943254,NA,NA,NA,0.687698311355342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Csf1,Csf1,5.92993937819381,NA,NA,NA,NA,1,NA,NA,NA,NA,2.119188682759e-12,NA,NA,NA,NA,NA,NA,NA,NA,0.673235539018267,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
