,Feature,Segment1.Slope,Segment2.Slope,Segment3.Slope,Segment4.Slope,Segment5.Slope,Segment6.Slope,Segment1.Trend,Segment2.Trend,Segment3.Trend,Segment4.Trend,Segment5.Trend,Segment6.Trend,Segment1.Pvalue,Segment2.Pvalue,Segment3.Pvalue,Segment4.Pvalue,Segment5.Pvalue,Segment6.Pvalue,Breakpoint1,Breakpoint2,Breakpoint3,Breakpoint4,Breakpoint5,AdjustedR2,X3m_s1.Trend,X3m_s2.Trend,X3m_s3.Trend,X3m_s4.Trend,X3m_s5.Trend,X6m_s1.Trend,X6m_s2.Trend,X6m_s3.Trend,X6m_s4.Trend,X6m_s5.Trend,X9m_s1.Trend,X9m_s2.Trend,X9m_s3.Trend,X9m_s4.Trend,X9m_s5.Trend,X9m_s6.Trend,X12m_s1.Trend,X12m_s2.Trend,X12m_s3.Trend,X12m_s4.Trend,X12m_s5.Trend,X15m_s1.Trend,X15m_s2.Trend,X15m_s3.Trend,X15m_s4.Trend,X15m_s5.Trend,X15m_s6.Trend,X18m_s1.Trend,X18m_s2.Trend,X18m_s3.Trend,X18m_s4.Trend,X21m_s1.Trend,X21m_s2.Trend,X21m_s3.Trend,X21m_s4.Trend,X21m_s5.Trend,X21m_s6.Trend,X24m_s1.Trend,X24m_s2.Trend,X24m_s3.Trend,X24m_s4.Trend,X27m_s1.Trend,X27m_s2.Trend,X27m_s3.Trend,X27m_s4.Trend
Eif2s3y,Eif2s3y,1.2048,-21.074,NA,NA,NA,NA,0,-1,NA,NA,NA,NA,0.342041979937649,0.0980345120949491,NA,NA,NA,NA,20.1062644441457,NA,NA,NA,NA,0.943900553283436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Eif2s3x,Eif2s3x,2.9883,-4.5307,NA,NA,NA,NA,0,-1,NA,NA,NA,NA,0.165194509830751,0.0874773159092894,NA,NA,NA,NA,14.9434681093911,NA,NA,NA,NA,0.875322577705996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Kcnk1,Kcnk1,2.8651,-14.198,NA,NA,NA,NA,1,0,NA,NA,NA,NA,0.033386855121251,0.483625637669292,NA,NA,NA,NA,25.210013747625,NA,NA,NA,NA,0.708159982417898,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
Prkcq,Prkcq,7.88417150284819,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,6.09585048097962e-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.665027714996815,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Acsm5,Acsm5,7.0635,-17.172,NA,NA,NA,NA,1,0,NA,NA,NA,NA,0.0437277936140419,0.142996375310303,NA,NA,NA,NA,23.2386095617694,NA,NA,NA,NA,0.661066422275944,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Dpep1,Dpep1,95.426,-13.231,NA,NA,NA,NA,1,-1,NA,NA,NA,NA,0.08906369638618,0.088243291241074,NA,NA,NA,NA,6.20825469682502,NA,NA,NA,NA,0.653942221296488,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Cds1,Cds1,15.141,0.91895,NA,NA,NA,NA,1,0,NA,NA,NA,NA,0.0661617697520221,0.383234589694991,NA,NA,NA,NA,13.7689683967308,NA,NA,NA,NA,0.630278771630697,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Efemp1,Efemp1,13.711,-10.618,NA,NA,NA,NA,1,0,NA,NA,NA,NA,0.0653886528419882,0.133382680554642,NA,NA,NA,NA,17.0239453908868,NA,NA,NA,NA,0.627845147250603,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vgll2,Vgll2,2.37653067422055,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1.62539198961029e-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61098646002165,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rtl3,Rtl3,0.279239696237743,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.0601945054345215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.60365851212761,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
