,Feature,Segment1.Slope,Segment2.Slope,Segment3.Slope,Segment4.Slope,Segment5.Slope,Segment6.Slope,Segment7.Slope,Segment1.Trend,Segment2.Trend,Segment3.Trend,Segment4.Trend,Segment5.Trend,Segment6.Trend,Segment7.Trend,Segment1.Pvalue,Segment2.Pvalue,Segment3.Pvalue,Segment4.Pvalue,Segment5.Pvalue,Segment6.Pvalue,Segment7.Pvalue,Breakpoint1,Breakpoint2,Breakpoint3,Breakpoint4,Breakpoint5,Breakpoint6,AdjustedR2,X3m_s1.Trend,X3m_s2.Trend,X3m_s3.Trend,X3m_s4.Trend,X3m_s5.Trend,X3m_s6.Trend,X6m_s1.Trend,X6m_s2.Trend,X6m_s3.Trend,X6m_s4.Trend,X9m_s1.Trend,X9m_s2.Trend,X9m_s3.Trend,X9m_s4.Trend,X9m_s5.Trend,X9m_s6.Trend,X12m_s1.Trend,X12m_s2.Trend,X12m_s3.Trend,X12m_s4.Trend,X12m_s5.Trend,X15m_s1.Trend,X15m_s2.Trend,X15m_s3.Trend,X15m_s4.Trend,X15m_s5.Trend,X15m_s6.Trend,X18m_s1.Trend,X18m_s2.Trend,X18m_s3.Trend,X18m_s4.Trend,X18m_s5.Trend,X18m_s6.Trend,X21m_s1.Trend,X21m_s2.Trend,X21m_s3.Trend,X21m_s4.Trend,X21m_s5.Trend,X24m_s1.Trend,X24m_s2.Trend,X27m_s1.Trend,X27m_s2.Trend,X27m_s3.Trend
Oxct2b,Oxct2b,-0.0025234,331.56,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,0.172567299648824,0.00371025633339826,NA,NA,NA,NA,NA,27.0251631495977,NA,NA,NA,NA,NA,0.996299088662107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Igtp,Igtp,4.7156,105300,-3118.1,14.758,NA,NA,NA,1,1,0,0,NA,NA,NA,0.0650107006790649,0.0113963203770587,0.167670882455772,0.160414181475984,NA,NA,NA,18.0023097946964,18.0874620553616,20.9799505176937,NA,NA,NA,0.976315446071027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Eif2s3y,Eif2s3y,2.83135892234157,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.00482774522219202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.958021297573076,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fgg,Fgg,-0.59895,366.6,-19742,0.083741,NA,NA,NA,0,0,-1,0,NA,NA,NA,0.225787622512598,0.127007197975868,0.0160294727865376,0.205330362720973,NA,NA,NA,6.00801587836395,8.9183914324062,8.97241087212596,NA,NA,NA,0.95361997502102,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uty,Uty,-0.842676258721321,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,0.0185880081004944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.926314106785723,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Col3a1,Col3a1,-767.13,915630,-195280,79.987,-281.74,-243.49,NA,-1,1,0,0,0,0,NA,0.0940934233215485,0.0363033847428062,0.485859479941832,0.451614260863786,0.319096064950844,0.385657448886363,NA,9.00728799072247,9.52498909673996,11.9466565882229,16.459004076681,21.0742481052195,NA,0.882454097827524,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Defa17,Defa17,0.0089017,412.35,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,0.302613928046154,0.0308251628321148,NA,NA,NA,NA,NA,27.0240817679477,NA,NA,NA,NA,NA,0.862521201484321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Amd1,Amd1,-52.1538897123395,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,1.01125091525644e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.854516655874617,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Serpinb6a,Serpinb6a,21.4993338941498,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.0057834077145262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.839356930093709,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Zp2,Zp2,0.030858,1991.8,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,0.369613769319683,0.0279261840983198,NA,NA,NA,NA,NA,27.0240818184103,NA,NA,NA,NA,NA,0.833720067848839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Col5a2,Col5a2,-32.058,35566,-880.3,-3.2058,-4939.8,1.8035,NA,0,1,0,0,0,0,NA,0.113733773711083,0.0478005071261813,0.491360645234433,0.4200646136531,0.362430784781058,0.482735269641599,NA,9.01008329959841,9.08050653455668,11.9490760730654,20.9610923562379,20.990757411835,NA,0.819108384871588,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tmem37,Tmem37,38.174,2.7281,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,0.071481982624008,0.386758023578708,NA,NA,NA,NA,NA,12.728307028533,NA,NA,NA,NA,NA,0.793243693046302,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Irx3os,Irx3os,277.99,-1.785,NA,NA,NA,NA,NA,0,-1,NA,NA,NA,NA,NA,0.152532605420133,0.0515607764064821,NA,NA,NA,NA,NA,3.03502845003692,NA,NA,NA,NA,NA,0.787490435240299,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Psmd8,Psmd8,14.1687750870442,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.00237037448521274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.780686598189772,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1700001O22Rik,1700001O22Rik,134.99,-4.181,NA,NA,NA,NA,NA,0,-1,NA,NA,NA,NA,NA,0.377492261510453,0.0691623832571157,NA,NA,NA,NA,NA,3.3891236671692,NA,NA,NA,NA,NA,0.778680017317489,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Baiap3,Baiap3,0.048374,4.5105,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,0.287507152560993,0.0471635740450214,NA,NA,NA,NA,NA,23.4876766985411,NA,NA,NA,NA,NA,0.775092182630511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Kera,Kera,-20.946,-1.1767,NA,NA,NA,NA,NA,-1,0,NA,NA,NA,NA,NA,0.077169216316781,0.181495877860655,NA,NA,NA,NA,NA,8.32529849779674,NA,NA,NA,NA,NA,0.773639663185248,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mettl21c,Mettl21c,-14.0241630707464,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,2.25387447501913e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.765210362243745,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Cacna2d4,Cacna2d4,-5.83342009841097,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,3.38436132621548e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.761852837096183,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Grina,Grina,55.925,9.3007,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,0.0841481238328586,0.195935937968298,NA,NA,NA,NA,NA,9.64405498211763,NA,NA,NA,NA,NA,0.760796773506508,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyfip2,Cyfip2,7.09464960640949,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.0251962134160635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75954365180835,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
