,Feature,Segment1.Slope,Segment2.Slope,Segment3.Slope,Segment4.Slope,Segment5.Slope,Segment6.Slope,Segment7.Slope,Segment8.Slope,Segment1.Trend,Segment2.Trend,Segment3.Trend,Segment4.Trend,Segment5.Trend,Segment6.Trend,Segment7.Trend,Segment8.Trend,Segment1.Pvalue,Segment2.Pvalue,Segment3.Pvalue,Segment4.Pvalue,Segment5.Pvalue,Segment6.Pvalue,Segment7.Pvalue,Segment8.Pvalue,Breakpoint1,Breakpoint2,Breakpoint3,Breakpoint4,Breakpoint5,Breakpoint6,Breakpoint7,AdjustedR2,X3m_s1.Trend,X3m_s2.Trend,X3m_s3.Trend,X6m_s1.Trend,X6m_s2.Trend,X6m_s3.Trend,X6m_s4.Trend,X9m_s1.Trend,X9m_s2.Trend,X9m_s3.Trend,X9m_s4.Trend,X12m_s1.Trend,X12m_s2.Trend,X12m_s3.Trend,X12m_s4.Trend,X12m_s5.Trend,X15m_s1.Trend,X15m_s2.Trend,X15m_s3.Trend,X15m_s4.Trend,X18m_s1.Trend,X18m_s2.Trend,X18m_s3.Trend,X18m_s4.Trend,X21m_s1.Trend,X21m_s2.Trend,X21m_s3.Trend,X24m_s1.Trend,X24m_s2.Trend,X27m_s1.Trend,X27m_s2.Trend,X27m_s3.Trend
Atp2a1,Atp2a1,13.368,-2005.2,17.314,-0.059707,NA,NA,NA,NA,1,-1,0,0,NA,NA,NA,NA,0.0200547976254713,0.0222341027098446,0.352154203080524,0.321440357675757,NA,NA,NA,NA,6.0362771204193,6.08148021041611,9.10362600976349,NA,NA,NA,NA,0.948164534978879,1,1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyz1,Lyz1,-0.46321,100.57,-2865.6,222.15,-1.3553,NA,NA,NA,0,1,-1,0,0,NA,NA,NA,0.37736103084132,0.017797945792568,0.0985046921641412,0.234436738387937,0.294558991195976,NA,NA,NA,12.0312880886832,14.9440550361869,15.2596709369927,18.0818937169934,NA,NA,NA,0.941479446629895,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
Cox4i2,Cox4i2,-0.21431,18.079,-642.58,0.13374,NA,NA,NA,NA,0,0,-1,0,NA,NA,NA,NA,0.288601623089244,0.419679468996114,0.0181476474182316,0.29377837070605,NA,NA,NA,NA,12.0133982858508,14.9621007528678,15.0450461043194,NA,NA,NA,NA,0.940283284562059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
Epas1,Epas1,-11.918,823.49,-35153,15.373,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,0.226613830189025,0.0193945757535709,0.140347510464679,0.167165439739649,NA,NA,NA,NA,12.0182187280241,14.981033678746,15.0539260900728,NA,NA,NA,NA,0.928403444711135,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tspan7,Tspan7,-3.2118,180.34,-7392.3,806.52,-5.7253,NA,NA,NA,0,0,-1,0,0,NA,NA,NA,0.242692752073743,0.430763311070167,0.020128253310527,0.236417763860759,0.193210174257577,NA,NA,NA,11.9498826235107,14.9732443549579,15.3381073759316,18.071174321812,NA,NA,NA,0.922224082548487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
Nkd1,Nkd1,-0.3329,46.205,-1798.3,0.56671,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,0.374889589009445,0.0200031942484124,0.166416403216555,0.246427878039429,NA,NA,NA,NA,11.9925459492036,14.9740991491842,15.0520632098414,NA,NA,NA,NA,0.916352138033967,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rnf144a,Rnf144a,-1.9689,77.497,-2961.3,0.60216,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,0.22880477999723,0.0201805039227282,0.17216984240497,0.320447270844174,NA,NA,NA,NA,11.8435271546666,14.9733229425923,15.0541832308305,NA,NA,NA,NA,0.912541099338572,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clic5,Clic5,-3.1813,116.54,-4554.4,3.1433,NA,NA,NA,NA,0,1,-1,0,NA,NA,NA,NA,0.227828260564279,0.0215298959400766,0.0977079636572943,0.164251922435764,NA,NA,NA,NA,11.8769079849482,14.9789950914732,15.0611618976312,NA,NA,NA,NA,0.902961600963322,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,-1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
Icam2,Icam2,-0.9284,93.98,-1584.1,0.59203,NA,NA,NA,NA,0,0,-1,0,NA,NA,NA,NA,0.243027190021625,0.247020218380093,0.0238773954114085,0.244941424116471,NA,NA,NA,NA,11.9414322656611,14.8707506598209,15.0449950885904,NA,NA,NA,NA,0.893669361063806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
Mgp,Mgp,-2.2758,150.8,-68847,3.471,NA,NA,NA,NA,0,0,-1,0,NA,NA,NA,NA,0.313960959966262,0.398301307593908,0.0303706944536144,0.1475454296294,NA,NA,NA,NA,11.908799946182,14.9548238823435,14.9615057912188,NA,NA,NA,NA,0.886067902091995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
